,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
ridge,Ridge Classifier,0.6322,0.0,0.6072,0.6561,0.6172,0.5843,0.5912,0.004
lr,Logistic Regression,0.6237,0.9263,0.5976,0.6411,0.6075,0.5744,0.5811,0.039
lightgbm,Light Gradient Boosting Machine,0.6154,0.9222,0.5871,0.6276,0.6,0.5658,0.5707,0.056
xgboost,Extreme Gradient Boosting,0.6026,0.9218,0.5804,0.6162,0.5903,0.5518,0.5563,0.256
et,Extra Trees Classifier,0.6025,0.8742,0.5821,0.6102,0.59,0.5515,0.5562,0.05
gbc,Gradient Boosting Classifier,0.5964,0.9143,0.5743,0.614,0.5857,0.5448,0.5486,0.267
rf,Random Forest Classifier,0.6004,0.9029,0.5727,0.6072,0.5832,0.5481,0.5533,0.056
dt,Decision Tree Classifier,0.5707,0.7936,0.5467,0.5977,0.5634,0.5162,0.52,0.005
svm,SVM - Linear Kernel,0.5709,0.0,0.5587,0.584,0.5444,0.5171,0.5253,0.008
ada,Ada Boost Classifier,0.2599,0.7015,0.2191,0.1527,0.1726,0.155,0.1733,0.024
