,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6851,0.9411,0.6546,0.6982,0.6676,0.6431,0.6486,0.059
xgboost,Extreme Gradient Boosting,0.6808,0.9375,0.6552,0.6983,0.6661,0.6388,0.6436,0.284
gbc,Gradient Boosting Classifier,0.6746,0.9352,0.6447,0.682,0.6577,0.6319,0.637,0.303
lr,Logistic Regression,0.6702,0.9464,0.6408,0.6882,0.6561,0.6262,0.6309,0.042
ridge,Ridge Classifier,0.6531,0.0,0.6299,0.6699,0.6417,0.6076,0.6118,0.009
dt,Decision Tree Classifier,0.6532,0.8489,0.6321,0.6724,0.6412,0.6088,0.6124,0.005
svm,SVM - Linear Kernel,0.6617,0.0,0.6378,0.6849,0.6412,0.6181,0.6259,0.009
rf,Random Forest Classifier,0.6491,0.9245,0.6258,0.6553,0.632,0.6018,0.6071,0.063
et,Extra Trees Classifier,0.63,0.9044,0.609,0.6437,0.6144,0.581,0.5862,0.051
ada,Ada Boost Classifier,0.2959,0.6855,0.2124,0.1496,0.1832,0.1711,0.1968,0.025
