,feature,Extreme Gradient Boosting,Light Gradient Boosting Machine,Logistic Regression,mean_imp
0,1,0.0,0.0,0.0,0.0
1,2,0.0,0.0,0.0,0.0
2,3,0.0,0.0,0.0,0.0
3,4,0.0,0.0,0.0,0.0
4,5,0.0,0.0,0.0,0.0
5,6,0.0,0.0,0.0,0.0
6,7,0.0,0.0,0.0,0.0
7,8,0.0,0.0,0.0,0.0
8,9,0.0,0.0,0.0,0.0
9,10,0.0,0.0,0.0,0.0
10,11,0.0,0.0,0.0,0.0
11,12,0.0,0.0,0.0,0.0
12,13,0.0,0.0,0.0,0.0
13,14,0.0,0.0,0.0,0.0
14,15,0.0,0.0,0.0,0.0
15,16,0.0,0.0,0.0,0.0
16,17,0.0,0.0,0.0,0.0
17,18,0.0,0.0,0.0,0.0
18,19,0.0,0.0,0.0,0.0
19,20,0.0,0.0,0.0,0.0
20,21,0.0,0.0,0.0,0.0
21,22,0.0,0.0,0.0,0.0
22,23,0.0,0.0,0.0,0.0
23,24,0.0,0.0,0.0,0.0
24,25,0.0,0.0,0.0,0.0
25,26,0.0,0.0,0.0,0.0
26,27,0.0,0.0,0.0,0.0
27,28,0.0,0.0,0.0,0.0
28,29,0.0,0.0,0.0,0.0
29,30,0.0,0.0,0.0,0.0
30,31,0.0,0.0,0.0,0.0
31,32,0.0,0.0,0.0,0.0
32,33,0.0,0.0,0.0,0.0
33,34,0.0,0.0,0.0,0.0
34,35,0.0,0.0,0.0,0.0
35,36,0.0,0.0,0.0,0.0
36,37,0.0,0.0,0.0,0.0
37,38,0.0,0.0,0.0,0.0
38,39,0.0,0.0,0.0,0.0
39,40,0.0,0.0,0.0,0.0
40,41,0.0,0.0,0.0,0.0
41,42,0.0,0.0,0.0,0.0
42,43,0.0,0.0,0.0,0.0
43,44,0.0,0.0,0.0,0.0
44,45,0.0,0.0,0.0,0.0
45,46,0.0,0.0,0.0,0.0
46,47,0.0,0.0,0.0,0.0
47,48,0.0,0.0,0.0,0.0
48,49,0.0,0.0,0.0,0.0
49,50,0.0,0.0,0.0,0.0
50,51,0.0,0.0,0.0,0.0
51,52,0.0,0.0,0.0,0.0
52,53,0.0,0.0,0.0,0.0
53,54,0.0,0.0,0.0,0.0
54,55,0.0,0.0,0.0,0.0
55,56,0.0,0.0,0.0,0.0
56,57,0.0,0.0,0.0,0.0
57,58,0.0,0.0,0.0,0.0
58,59,0.0,0.0,0.0,0.0
59,60,0.0,0.0,0.0,0.0
60,61,0.0,0.0,0.0,0.0
61,62,0.0,0.0,0.0,0.0
62,63,0.0,0.0,0.0,0.0
63,64,0.0,0.0,0.0,0.0
64,65,0.0,0.0,0.0,0.0
65,66,0.51054865,0.40752032520325204,0.7400100842721969,0.5526930202312877
66,67,0.009187486,0.008130081300813009,0.09369496182102492,0.03700417638151624
67,68,0.30439475,0.29471544715447157,0.675355000693162,0.4248217332116064
68,69,0.3425643,0.29878048780487804,0.3686914787416865,0.3366787603834567
69,70,0.4799563,0.38922764227642276,0.6641026192391354,0.5110955201940338
70,71,0.49931088,0.1951219512195122,0.4482707519347994,0.38090119468458034
71,72,0.0,0.0,0.0,0.0
72,73,0.0,0.0,0.0,0.0
73,74,0.0,0.0,0.0,0.0
74,75,0.009187486,0.008130081300813009,0.09369496182102492,0.03700417638151624
75,76,0.27384204,0.21443089430894308,0.4320719348963758,0.3067816219764698
76,77,0.19884463,0.17378048780487804,0.465430624833918,0.27935191306156737
77,78,0.3609393,0.3150406504065041,0.5560814023837364,0.41068711563001603
78,79,0.0540191,0.026422764227642278,0.11800092440605514,0.06614759653258893
79,80,0.0,0.0,0.0,0.0
80,81,0.018374972,0.016260162601626018,0.18738992364204984,0.07400835276303248
81,82,0.108491234,0.16463414634146342,0.3717934979142405,0.21497295957901286
82,83,0.0,0.0,0.0,0.0
83,84,0.0,0.0,0.0,0.0
84,85,0.0,0.0,0.0,0.0
85,86,0.0,0.0,0.0,0.0
86,87,0.0,0.0,0.0,0.0
87,88,0.0,0.0,0.0,0.0
88,89,0.0,0.0,0.0,0.0
89,90,0.0,0.0,0.0,0.0
90,91,0.0,0.0,0.0,0.0
91,92,0.0,0.0,0.0,0.0
92,93,0.0,0.0,0.0,0.0
93,94,0.0,0.0,0.0,0.0
94,95,0.35175183,0.30691056910569103,0.4623864405627115,0.37368294794084383
95,96,0.18046965,0.15752032520325204,0.2780407011918682,0.20534355781500802
96,97,0.11174736,0.07317073170731707,0.3414211573465574,0.17544641692449425
97,98,0.43363485,0.3861788617886179,0.6305248971123699,0.4834462021011869
98,99,0.32097635,0.2804878048780488,0.4933999047241237,0.3649546854444528
99,100,0.06250547,0.08028455284552846,0.3247801604327414,0.15585672733480935
100,101,0.05964278,0.16361788617886178,0.5151657620327513,0.24614214292792969
101,102,0.0,0.0,0.0,0.0
102,103,0.0,0.0,0.0,0.0
103,104,0.0,0.0,0.0,0.0
104,105,0.0,0.0,0.0,0.0
105,106,0.0,0.0,0.0,0.0
106,107,0.0,0.0,0.0,0.0
107,108,0.0,0.0,0.0,0.0
108,109,0.0,0.0,0.0,0.0
109,110,0.0,0.0,0.0,0.0
110,111,0.052924402,0.1798780487804878,0.3210322984253296,0.18461158308798065
111,112,0.4081166,0.3953252032520325,0.6945831765198093,0.4993416628766501
112,113,0.26326278,0.36890243902439024,0.7214029835506106,0.451189400365195
113,114,0.26214334,0.1910569105691057,0.4850374459541631,0.3127459000701088
114,115,0.17449929,0.11280487804878049,0.3614243676389078,0.21624284462967344
115,116,0.2063559,0.09247967479674797,0.48950597400774537,0.2627805161256219
116,117,0.18046965,0.15752032520325204,0.2780407011918682,0.20534355781500802
117,118,0.018374972,0.016260162601626018,0.18738992364204984,0.07400835276303248
118,119,0.20482166,0.1676829268292683,0.37075419105351176,0.2477529263324909
119,120,0.086719014,0.3709349593495935,0.6831971824773418,0.3802837185258295
120,121,0.3425643,0.29878048780487804,0.3686914787416865,0.3366787603834567
121,122,0.18965714,0.16565040650406504,0.37173566301289307,0.2423477354382877
122,123,0.19387066,0.6707317073170732,0.948920847182042,0.6045077393806662
123,124,0.7895049,0.38109756097560976,0.6091138040321485,0.5932387502270937
124,125,0.009187486,0.008130081300813009,0.09369496182102492,0.03700417638151624
125,126,0.3874288,0.34959349593495936,0.6625365878469678,0.46651962470427133
126,127,0.018374972,0.016260162601626018,0.18738992364204984,0.07400835276303248
127,128,0.37045068,0.3546747967479675,0.5700752272038256,0.4317335664797705
128,129,0.0,0.0,0.0,0.0
129,130,0.44904453,0.2266260162601626,0.44644853157511183,0.37403969115286534
130,131,0.3564151,0.3241869918699187,0.4991741277309638,0.39325873751532714
131,132,0.0,0.0,0.0,0.0
132,133,0.0,0.0,0.0,0.0
133,134,0.17128216,0.14939024390243902,0.18434573937084325,0.16833938019172834
134,135,0.009187486,0.008130081300813009,0.09369496182102492,0.03700417638151624
135,136,0.44560358,0.4136178861788618,0.7078118464916792,0.5223444373177671
136,137,0.02756246,0.024390243902439025,0.28108488546307475,0.11101252976543045
137,138,0.009187486,0.008130081300813009,0.09369496182102492,0.03700417638151624
138,139,0.0794604,0.3119918699186992,0.43474921186367776,0.275400493048362
139,140,0.13649762,0.4105691056910569,0.6062778483203993,0.38444819025977983
140,141,0.37012678,0.3231707317073171,0.6497763642047613,0.4476912932532957
141,142,0.0,0.0,0.0,0.0
142,143,0.029342066,0.01524390243902439,0.07873317986863063,0.04110638293475522
143,144,0.018374972,0.016260162601626018,0.18738992364204984,0.07400835276303248
144,145,0.0,0.0,0.0,0.0
145,146,0.009187486,0.008130081300813009,0.09369496182102492,0.03700417638151624
146,147,0.18046965,0.15752032520325204,0.2780407011918682,0.20534355781500802
147,148,0.009187486,0.008130081300813009,0.09369496182102492,0.03700417638151624
