,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
xgboost,Extreme Gradient Boosting,0.6447,0.9234,0.6162,0.6608,0.6292,0.5975,0.6025,0.305
lightgbm,Light Gradient Boosting Machine,0.6407,0.9256,0.6134,0.6635,0.6265,0.5933,0.5986,0.058
lr,Logistic Regression,0.6407,0.927,0.6084,0.6552,0.6239,0.5918,0.5975,0.043
gbc,Gradient Boosting Classifier,0.6267,0.9121,0.5965,0.64,0.6144,0.5777,0.5814,0.292
et,Extra Trees Classifier,0.6147,0.8832,0.5967,0.6433,0.6045,0.5646,0.5691,0.054
ridge,Ridge Classifier,0.6168,0.0,0.5877,0.6328,0.601,0.5654,0.5707,0.004
rf,Random Forest Classifier,0.6127,0.915,0.5854,0.633,0.5981,0.5606,0.566,0.061
dt,Decision Tree Classifier,0.6009,0.807,0.5788,0.6165,0.5897,0.5498,0.5538,0.005
svm,SVM - Linear Kernel,0.5889,0.0,0.5754,0.6175,0.5687,0.5356,0.543,0.008
ada,Ada Boost Classifier,0.3053,0.723,0.2651,0.2328,0.2343,0.1983,0.2185,0.023
