,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lr,Logistic Regression,0.6507,0.9285,0.6269,0.6652,0.6368,0.6053,0.6099,0.057
lightgbm,Light Gradient Boosting Machine,0.6367,0.9259,0.6078,0.6469,0.623,0.5904,0.5941,0.07
xgboost,Extreme Gradient Boosting,0.6307,0.9233,0.6067,0.6455,0.6214,0.5837,0.5871,0.31
ridge,Ridge Classifier,0.6348,0.0,0.6103,0.647,0.6137,0.587,0.5926,0.004
dt,Decision Tree Classifier,0.6189,0.8255,0.5996,0.6342,0.6105,0.5715,0.5748,0.005
gbc,Gradient Boosting Classifier,0.6207,0.9159,0.5925,0.6286,0.6076,0.5722,0.5759,0.302
rf,Random Forest Classifier,0.6187,0.9164,0.593,0.6296,0.5998,0.5694,0.5746,0.063
svm,SVM - Linear Kernel,0.5989,0.0,0.5788,0.6279,0.5875,0.5488,0.5538,0.009
et,Extra Trees Classifier,0.5987,0.8864,0.5755,0.6162,0.5867,0.5474,0.5513,0.048
ada,Ada Boost Classifier,0.3074,0.6261,0.2413,0.1871,0.1907,0.181,0.2317,0.024
