,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
gbc,Gradient Boosting Classifier,0.6207,0.919,0.6036,0.6423,0.6123,0.5728,0.5773,0.287
lightgbm,Light Gradient Boosting Machine,0.6148,0.9284,0.6011,0.6446,0.6013,0.5662,0.571,0.056
xgboost,Extreme Gradient Boosting,0.6148,0.9298,0.5994,0.6303,0.5984,0.566,0.5711,0.285
lr,Logistic Regression,0.6049,0.9242,0.5882,0.6306,0.5921,0.5543,0.5591,0.041
dt,Decision Tree Classifier,0.5926,0.811,0.5878,0.6271,0.5836,0.5423,0.5465,0.005
et,Extra Trees Classifier,0.5946,0.8896,0.5877,0.6221,0.581,0.5431,0.5483,0.052
ridge,Ridge Classifier,0.5848,0.0,0.5653,0.6081,0.5732,0.5312,0.536,0.004
rf,Random Forest Classifier,0.5848,0.9123,0.5733,0.5997,0.5649,0.5302,0.5359,0.057
svm,SVM - Linear Kernel,0.5767,0.0,0.5603,0.6004,0.5562,0.522,0.529,0.008
ada,Ada Boost Classifier,0.3054,0.7037,0.2469,0.2196,0.2148,0.192,0.2165,0.025
