,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
xgboost,Extreme Gradient Boosting,0.6511,0.9297,0.6265,0.6788,0.639,0.6053,0.6107,0.242
lightgbm,Light Gradient Boosting Machine,0.6406,0.9338,0.6172,0.6843,0.6286,0.5935,0.5997,0.051
lr,Logistic Regression,0.636,0.9309,0.6135,0.6626,0.624,0.5879,0.5935,0.033
gbc,Gradient Boosting Classifier,0.6299,0.9192,0.6099,0.6585,0.6167,0.5823,0.5879,0.25
ridge,Ridge Classifier,0.6339,0.0,0.6113,0.6525,0.6155,0.5851,0.5918,0.004
dt,Decision Tree Classifier,0.6107,0.8087,0.593,0.6578,0.6048,0.5614,0.5668,0.005
rf,Random Forest Classifier,0.6172,0.9115,0.5969,0.6481,0.6027,0.5672,0.5732,0.054
et,Extra Trees Classifier,0.6109,0.8834,0.5967,0.6527,0.5988,0.5608,0.5677,0.048
svm,SVM - Linear Kernel,0.6001,0.0,0.588,0.6314,0.5826,0.5495,0.5575,0.008
ada,Ada Boost Classifier,0.3546,0.7585,0.3081,0.3097,0.2893,0.2596,0.2737,0.022
