,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
xgboost,Extreme Gradient Boosting,0.6701,0.9283,0.6553,0.6819,0.6579,0.6286,0.6332,0.289
lightgbm,Light Gradient Boosting Machine,0.6658,0.9334,0.6471,0.6778,0.6557,0.624,0.6282,0.062
lr,Logistic Regression,0.6616,0.9359,0.6505,0.6846,0.6542,0.6193,0.6241,0.04
gbc,Gradient Boosting Classifier,0.6468,0.9235,0.6329,0.6572,0.6371,0.6031,0.6068,0.291
ridge,Ridge Classifier,0.632,0.0,0.6214,0.6621,0.6237,0.5863,0.5914,0.004
et,Extra Trees Classifier,0.6255,0.8913,0.6143,0.6381,0.6149,0.5789,0.5831,0.053
rf,Random Forest Classifier,0.6277,0.9153,0.6134,0.6378,0.6132,0.5807,0.5854,0.057
svm,SVM - Linear Kernel,0.6195,0.0,0.6115,0.6442,0.6044,0.5729,0.5805,0.009
dt,Decision Tree Classifier,0.6087,0.8149,0.602,0.6377,0.6041,0.5612,0.5652,0.005
ada,Ada Boost Classifier,0.3506,0.6839,0.306,0.2249,0.2436,0.2425,0.2847,0.024
