,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lr,Logistic Regression,0.6647,0.932,0.6397,0.678,0.65,0.6206,0.6252,0.044
xgboost,Extreme Gradient Boosting,0.6465,0.9237,0.6252,0.6549,0.6351,0.6007,0.6041,0.304
lightgbm,Light Gradient Boosting Machine,0.6406,0.9274,0.621,0.6492,0.6289,0.5942,0.5977,0.058
ridge,Ridge Classifier,0.6309,0.0,0.6115,0.6446,0.617,0.5827,0.587,0.004
gbc,Gradient Boosting Classifier,0.6247,0.9202,0.5997,0.6411,0.6136,0.5758,0.5795,0.302
et,Extra Trees Classifier,0.6247,0.8829,0.6118,0.6463,0.6133,0.5766,0.5807,0.051
rf,Random Forest Classifier,0.6167,0.9096,0.6021,0.6298,0.6056,0.567,0.5712,0.057
dt,Decision Tree Classifier,0.6088,0.8209,0.5911,0.6428,0.603,0.5589,0.5635,0.005
svm,SVM - Linear Kernel,0.5947,0.0,0.5851,0.6504,0.5797,0.5446,0.5541,0.008
ada,Ada Boost Classifier,0.2834,0.6088,0.2068,0.1272,0.158,0.1446,0.1934,0.024
