,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
xgboost,Extreme Gradient Boosting,0.6407,0.9245,0.6226,0.6483,0.6218,0.5934,0.5999,0.274
lr,Logistic Regression,0.6386,0.9306,0.6171,0.6537,0.6181,0.5911,0.598,0.042
dt,Decision Tree Classifier,0.615,0.8172,0.6064,0.6464,0.6092,0.5662,0.5713,0.005
gbc,Gradient Boosting Classifier,0.6238,0.9134,0.6052,0.6419,0.606,0.5747,0.582,0.3
lightgbm,Light Gradient Boosting Machine,0.6217,0.9256,0.6048,0.6392,0.6059,0.5725,0.5781,0.057
ridge,Ridge Classifier,0.628,0.0,0.6103,0.6468,0.6051,0.579,0.5866,0.004
et,Extra Trees Classifier,0.6087,0.883,0.6017,0.6283,0.5956,0.5583,0.5637,0.056
svm,SVM - Linear Kernel,0.6068,0.0,0.6007,0.6456,0.5918,0.5574,0.5654,0.008
rf,Random Forest Classifier,0.6067,0.9145,0.5993,0.6191,0.5905,0.5551,0.5601,0.067
ada,Ada Boost Classifier,0.3401,0.7256,0.2767,0.2507,0.2603,0.2345,0.2548,0.025
