,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6635,0.9343,0.6407,0.6792,0.6477,0.6191,0.6234,0.052
xgboost,Extreme Gradient Boosting,0.6445,0.9332,0.6274,0.6701,0.6327,0.5981,0.6022,0.248
dt,Decision Tree Classifier,0.6403,0.8342,0.6213,0.6733,0.6312,0.5938,0.5985,0.005
gbc,Gradient Boosting Classifier,0.6424,0.9276,0.6142,0.6591,0.6263,0.5946,0.5992,0.264
lr,Logistic Regression,0.636,0.9361,0.6137,0.6551,0.6259,0.5875,0.5913,0.039
ridge,Ridge Classifier,0.6253,0.0,0.6044,0.6448,0.6149,0.5761,0.5795,0.004
et,Extra Trees Classifier,0.6274,0.8922,0.6114,0.6488,0.6133,0.578,0.583,0.05
rf,Random Forest Classifier,0.6254,0.9178,0.6084,0.6486,0.6121,0.5751,0.58,0.055
svm,SVM - Linear Kernel,0.6168,0.0,0.6023,0.6376,0.601,0.5667,0.5725,0.008
ada,Ada Boost Classifier,0.3214,0.7111,0.2675,0.1878,0.2146,0.2158,0.243,0.022
