,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
ridge,Ridge Classifier,0.6658,0.0,0.6359,0.6852,0.6572,0.6208,0.6244,0.004
lr,Logistic Regression,0.6659,0.9348,0.6306,0.6933,0.6559,0.6207,0.6251,0.042
lightgbm,Light Gradient Boosting Machine,0.666,0.9295,0.6321,0.6799,0.6524,0.6209,0.6254,0.051
gbc,Gradient Boosting Classifier,0.6597,0.9228,0.6223,0.6762,0.6459,0.6135,0.6182,0.261
xgboost,Extreme Gradient Boosting,0.6596,0.9292,0.6229,0.6707,0.6432,0.6136,0.6181,0.258
svm,SVM - Linear Kernel,0.63,0.0,0.5947,0.6638,0.6116,0.58,0.5871,0.008
dt,Decision Tree Classifier,0.6152,0.8269,0.5957,0.6467,0.6053,0.5646,0.569,0.005
rf,Random Forest Classifier,0.6152,0.9137,0.5865,0.6192,0.5982,0.5636,0.5684,0.055
et,Extra Trees Classifier,0.6132,0.8931,0.5863,0.6102,0.5957,0.5613,0.5656,0.055
ada,Ada Boost Classifier,0.3511,0.6923,0.2986,0.2709,0.2636,0.2361,0.2749,0.024
