,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6532,0.9279,0.6344,0.67,0.643,0.6079,0.6115,0.066
lr,Logistic Regression,0.6596,0.9363,0.6398,0.6759,0.6423,0.6148,0.6198,0.355
ridge,Ridge Classifier,0.6447,0.0,0.6187,0.6588,0.6294,0.5975,0.6018,0.004
xgboost,Extreme Gradient Boosting,0.6405,0.9258,0.623,0.6559,0.6289,0.5943,0.598,0.392
dt,Decision Tree Classifier,0.634,0.8283,0.6199,0.6567,0.624,0.587,0.5915,0.005
svm,SVM - Linear Kernel,0.6257,0.0,0.6176,0.6737,0.6155,0.5785,0.5871,0.008
gbc,Gradient Boosting Classifier,0.6257,0.9217,0.6036,0.6371,0.614,0.5767,0.5801,0.288
rf,Random Forest Classifier,0.6277,0.9119,0.6062,0.6325,0.608,0.5779,0.5832,0.055
et,Extra Trees Classifier,0.6045,0.8883,0.5862,0.6138,0.5882,0.5529,0.5573,0.926
ada,Ada Boost Classifier,0.2977,0.6966,0.2378,0.1963,0.2082,0.1848,0.207,0.022
