feature,p_value,score,xgb,lg,gbc,mean
p1_L,2.2578823052679866e-49,269.81116290839793,0.27153146,0.0902016445140546,0.603120734903689,0.3216179473623721
p1_M,1.1117573440545681e-21,133.97699638404976,0.024218503,0.19727250487250203,0.001372299632248665,0.07428776929684432
p1_QFPAH,6.70783552628587e-36,204.46793495125155,0.032704983,0.1019609276481807,0.19653401673202917,0.11039997576226328
p2_DQLMTGPHWY,2.0006797930972366e-10,75.39730720579423,0.0133992545,0.14469816719807774,0.03659029205750249,0.06489590459541617
p2_N,2.9519405971195034e-34,196.42250587454464,0.031918373,0.19773903891568462,0.2388063223995357,0.15615457809137295
p2_S,8.08568995513025e-83,429.37711012294403,0.031918373,0.19773903891568462,0.2388063223995357,0.15615457809137295
p3_G,1.6793259990073e-37,212.28881852966407,0.031918373,0.19773903891568462,0.2388063223995357,0.15615457809137295
p3_GAP,1.7984627249730197e-29,172.87253470302272,0.031918373,0.19773903891568462,0.2388063223995357,0.15615457809137295
p4_G,7.937232811415098e-30,174.6282367956558,0.003994527,0.09627037977314473,0.03985404810266068,0.04670631822767474
p4_RMSDAQPV,7.178084962458168e-29,169.8986499516488,0.003724632,0.16309804318742985,0.2480121482306426,0.13827827450143493
p4_T,7.904026192932645e-33,189.4163826151192,0.031918373,0.19773903891568462,0.2388063223995357,0.15615457809137295
p5_QKHDPA,1.8634268424196614e-24,147.9305793977445,0.0095751835,0.1510783649308178,0.001232916484035275,0.05396215497272761
p5_R,2.2291367442353676e-24,147.5409923308593,0.00500129,0.11890153125984114,0.0013139815268142058,0.04173893418555416
p6_GAP,4.708646862770164e-41,229.5782090815833,0.031918373,0.19773903891568462,0.2388063223995357,0.15615457809137295
p6_P,1.332430782254678e-35,203.01033239430777,1.0,0.06960238492900296,0.14318881474281872,0.40426373322394055
p6_Q,1.500136535547341e-50,275.48178033133735,0.27153146,0.0902016445140546,0.603120734903689,0.3216179473623721
p6_RHFMYK,9.110634331727087e-16,103.72945175925679,0.00043156225,0.08872921087587114,7.816211072353211e-05,0.029746311745536356
p7_E,9.123877835547265e-20,124.27470807849329,0.031918373,0.19773903891568462,0.2388063223995357,0.15615457809137295
p7_IQAGLNMV,2.18954955009835e-09,69.69742424989195,0.003012109,0.167549427077203,0.015401599488944097,0.06198771188277976
p7_K,1.3875456295743694e-14,97.56332668946317,0.004132094,0.04358191021369495,0.004026445468199803,0.017246816514531287
