,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6606,0.9324,0.6337,0.6725,0.6475,0.617,0.6216,0.059
gbc,Gradient Boosting Classifier,0.6487,0.9219,0.6283,0.6685,0.6428,0.6045,0.6081,0.293
xgboost,Extreme Gradient Boosting,0.6467,0.9303,0.6198,0.6511,0.6312,0.6014,0.6057,0.297
lr,Logistic Regression,0.6428,0.9261,0.6102,0.6527,0.6293,0.5956,0.6002,0.039
svm,SVM - Linear Kernel,0.6307,0.0,0.6087,0.6674,0.6207,0.584,0.591,0.008
ridge,Ridge Classifier,0.6287,0.0,0.6045,0.6433,0.616,0.5804,0.5847,0.004
rf,Random Forest Classifier,0.6267,0.9184,0.6033,0.6371,0.6124,0.5782,0.5829,0.059
et,Extra Trees Classifier,0.6087,0.8849,0.5909,0.6271,0.599,0.5583,0.5626,0.054
dt,Decision Tree Classifier,0.5849,0.8128,0.5663,0.604,0.5753,0.533,0.5378,0.005
ada,Ada Boost Classifier,0.3652,0.7684,0.3372,0.3321,0.3223,0.2784,0.2918,0.023
