,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6743,0.9343,0.6525,0.6924,0.6648,0.6324,0.6364,0.055
xgboost,Extreme Gradient Boosting,0.6596,0.9298,0.6344,0.6636,0.6459,0.6153,0.6196,0.252
lr,Logistic Regression,0.6533,0.9364,0.6301,0.6703,0.6395,0.6084,0.613,0.039
rf,Random Forest Classifier,0.649,0.9126,0.6293,0.6499,0.6324,0.6033,0.6078,0.055
ridge,Ridge Classifier,0.6426,0.0,0.6207,0.6678,0.6304,0.5964,0.6009,0.004
gbc,Gradient Boosting Classifier,0.6363,0.9144,0.6177,0.6533,0.6271,0.59,0.5935,0.269
et,Extra Trees Classifier,0.63,0.8968,0.6121,0.6284,0.6128,0.5821,0.5866,0.05
dt,Decision Tree Classifier,0.6151,0.8264,0.5983,0.6377,0.6082,0.5672,0.5708,0.005
svm,SVM - Linear Kernel,0.615,0.0,0.5997,0.6456,0.5997,0.5665,0.5736,0.008
ada,Ada Boost Classifier,0.3506,0.7148,0.2781,0.2362,0.2523,0.2433,0.2663,0.022
