,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
xgboost,Extreme Gradient Boosting,0.6529,0.9291,0.6232,0.6514,0.6355,0.6089,0.6124,0.297
lr,Logistic Regression,0.6527,0.9309,0.6207,0.6434,0.6329,0.6079,0.6116,0.054
gbc,Gradient Boosting Classifier,0.6368,0.9207,0.6046,0.6443,0.6212,0.5905,0.5941,0.287
ridge,Ridge Classifier,0.6388,0.0,0.6074,0.633,0.6167,0.5918,0.5961,0.004
lightgbm,Light Gradient Boosting Machine,0.6289,0.9322,0.5971,0.6133,0.608,0.5815,0.5852,0.056
rf,Random Forest Classifier,0.6269,0.9173,0.5977,0.6219,0.6062,0.5781,0.5828,0.056
et,Extra Trees Classifier,0.6168,0.8755,0.5923,0.6108,0.5995,0.5679,0.5719,0.063
dt,Decision Tree Classifier,0.595,0.8153,0.5656,0.6045,0.5807,0.5439,0.5475,0.005
svm,SVM - Linear Kernel,0.5947,0.0,0.5668,0.6136,0.5803,0.5443,0.5501,0.008
ada,Ada Boost Classifier,0.3653,0.7613,0.3412,0.3655,0.3346,0.282,0.2914,0.022
