,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lr,Logistic Regression,0.6364,0.9277,0.6049,0.6278,0.6139,0.5875,0.5924,0.038
lightgbm,Light Gradient Boosting Machine,0.63,0.9268,0.6004,0.6288,0.6135,0.581,0.5859,0.057
dt,Decision Tree Classifier,0.6259,0.8277,0.6058,0.6276,0.6075,0.5776,0.583,0.005
xgboost,Extreme Gradient Boosting,0.6236,0.9266,0.5987,0.6185,0.6057,0.574,0.5785,0.254
et,Extra Trees Classifier,0.6151,0.8817,0.5907,0.6208,0.5998,0.5642,0.5691,0.05
gbc,Gradient Boosting Classifier,0.6152,0.9151,0.5882,0.6116,0.5989,0.5646,0.5693,0.27
rf,Random Forest Classifier,0.6172,0.9144,0.5888,0.6086,0.5955,0.5661,0.5714,0.055
ridge,Ridge Classifier,0.6088,0.0,0.5811,0.6061,0.5891,0.5563,0.5608,0.004
svm,SVM - Linear Kernel,0.5833,0.0,0.5662,0.5953,0.5618,0.5297,0.539,0.008
ada,Ada Boost Classifier,0.3423,0.7034,0.2799,0.2418,0.2496,0.2384,0.2607,0.022
