,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6305,0.9257,0.6113,0.6528,0.6199,0.5828,0.5866,0.058
xgboost,Extreme Gradient Boosting,0.6265,0.9242,0.6072,0.6533,0.6164,0.5787,0.5826,0.291
lr,Logistic Regression,0.6245,0.9298,0.6067,0.6462,0.6145,0.5762,0.5797,0.039
rf,Random Forest Classifier,0.6127,0.9127,0.5957,0.6275,0.6002,0.5616,0.5661,0.055
dt,Decision Tree Classifier,0.6104,0.8215,0.5926,0.6222,0.5972,0.5611,0.5647,0.005
gbc,Gradient Boosting Classifier,0.6064,0.9129,0.5842,0.6254,0.5961,0.5558,0.5593,0.29
ridge,Ridge Classifier,0.6065,0.0,0.5883,0.6222,0.5951,0.5559,0.5594,0.004
svm,SVM - Linear Kernel,0.6126,0.0,0.6016,0.6221,0.5917,0.5631,0.5697,0.008
et,Extra Trees Classifier,0.6006,0.8831,0.5874,0.624,0.5873,0.5492,0.5536,0.049
ada,Ada Boost Classifier,0.3714,0.7544,0.3442,0.3084,0.3013,0.2819,0.2995,0.025
