,Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
rf,Random Forest Regressor,8.7077,187.4741,13.5761,0.7768,0.0349,0.0224,0.075
et,Extra Trees Regressor,8.7465,223.7212,14.8163,0.733,0.038,0.0226,0.062
xgboost,Extreme Gradient Boosting,8.8115,196.7223,13.8103,0.7642,0.0356,0.0228,0.169
dt,Decision Tree Regressor,9.0561,237.0582,15.1911,0.7308,0.0389,0.0233,0.006
lightgbm,Light Gradient Boosting Machine,9.8264,191.5982,13.6737,0.7694,0.0353,0.0254,0.018
ridge,Ridge Regression,9.8494,199.063,13.9159,0.7644,0.0359,0.0254,0.03
br,Bayesian Ridge,9.9109,194.731,13.7837,0.7686,0.0356,0.0256,0.403
lasso,Lasso Regression,10.8636,233.9374,15.1426,0.7406,0.0386,0.0278,0.005
ada,AdaBoost Regressor,12.1739,257.7141,16.0145,0.6944,0.0413,0.0316,0.016
huber,Huber Regressor,15.2689,575.8514,22.763,0.351,0.0583,0.0393,0.01
par,Passive Aggressive Regressor,16.0625,519.057,22.2774,0.4,0.0586,0.0415,0.006
lr,Linear Regression,43259980364066.305,3.6924302395761582e+28,107824137796371.61,-3.224909739361099e+25,9.0675,112451734796.4113,0.048
lar,Least Angle Regression,2.295159493432294e+20,2.4231033749852277e+42,5.807512587285501e+20,-2.9334877191823557e+39,13.6667,6.041751441500319e+17,0.543
