,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6526,0.9307,0.6405,0.664,0.6387,0.6079,0.6129,0.053
lr,Logistic Regression,0.6527,0.9337,0.6393,0.6648,0.6367,0.6076,0.6128,0.041
xgboost,Extreme Gradient Boosting,0.6406,0.9277,0.6278,0.6452,0.6254,0.5944,0.5986,0.29
gbc,Gradient Boosting Classifier,0.6365,0.9157,0.6251,0.6562,0.6251,0.5902,0.5948,0.288
ridge,Ridge Classifier,0.6348,0.0,0.6261,0.654,0.6206,0.5877,0.5927,0.004
dt,Decision Tree Classifier,0.6208,0.8235,0.6177,0.6354,0.6086,0.5731,0.577,0.005
rf,Random Forest Classifier,0.6207,0.9213,0.6109,0.6222,0.6009,0.5713,0.5767,0.055
et,Extra Trees Classifier,0.6086,0.8909,0.6031,0.6183,0.5929,0.559,0.563,0.055
svm,SVM - Linear Kernel,0.6125,0.0,0.603,0.6155,0.5825,0.5635,0.5714,0.008
ada,Ada Boost Classifier,0.3236,0.7264,0.2812,0.2581,0.2501,0.2181,0.2388,0.022
