,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
ridge,Ridge Classifier,0.6551,0.0,0.6306,0.6501,0.6314,0.6081,0.6138,0.004
lightgbm,Light Gradient Boosting Machine,0.6467,0.9333,0.6207,0.6548,0.6306,0.5991,0.6035,0.063
xgboost,Extreme Gradient Boosting,0.6425,0.9298,0.6166,0.6441,0.6282,0.5948,0.5981,0.285
gbc,Gradient Boosting Classifier,0.6404,0.9286,0.6088,0.6479,0.6244,0.5916,0.5961,0.268
lr,Logistic Regression,0.6381,0.9306,0.6179,0.649,0.6196,0.5886,0.5943,0.039
rf,Random Forest Classifier,0.6255,0.9147,0.6014,0.628,0.607,0.575,0.5796,0.057
svm,SVM - Linear Kernel,0.6253,0.0,0.6061,0.6587,0.602,0.575,0.5839,0.008
et,Extra Trees Classifier,0.617,0.8903,0.6017,0.628,0.5994,0.5664,0.5712,0.053
dt,Decision Tree Classifier,0.6147,0.8219,0.5973,0.62,0.5965,0.5644,0.5689,0.005
ada,Ada Boost Classifier,0.3805,0.7345,0.3317,0.2878,0.3008,0.2817,0.299,0.022
