,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
xgboost,Extreme Gradient Boosting,0.6329,0.9193,0.6126,0.6452,0.6231,0.5856,0.5894,0.386
lightgbm,Light Gradient Boosting Machine,0.6329,0.9234,0.6086,0.6399,0.6217,0.5853,0.5888,0.068
lr,Logistic Regression,0.6329,0.9185,0.6124,0.6296,0.6176,0.5851,0.5892,0.048
gbc,Gradient Boosting Classifier,0.6208,0.9189,0.5961,0.6275,0.607,0.5722,0.5759,0.39
et,Extra Trees Classifier,0.6148,0.8722,0.5955,0.6186,0.6,0.5651,0.5691,0.055
rf,Random Forest Classifier,0.6029,0.914,0.5778,0.599,0.5877,0.5516,0.5554,0.065
ridge,Ridge Classifier,0.603,0.0,0.5788,0.6052,0.5867,0.5507,0.5553,0.006
svm,SVM - Linear Kernel,0.5971,0.0,0.5773,0.6077,0.5734,0.5466,0.5543,0.011
dt,Decision Tree Classifier,0.559,0.7821,0.5461,0.5783,0.5515,0.5042,0.5079,0.006
ada,Ada Boost Classifier,0.3275,0.7564,0.3137,0.2831,0.2778,0.237,0.2472,0.03
