,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
xgboost,Extreme Gradient Boosting,0.6406,0.9345,0.6204,0.64,0.6214,0.5942,0.5995,0.277
lightgbm,Light Gradient Boosting Machine,0.6346,0.9332,0.6126,0.6309,0.6147,0.5873,0.5923,0.058
gbc,Gradient Boosting Classifier,0.6247,0.9226,0.6012,0.6236,0.6044,0.5758,0.5812,0.281
lr,Logistic Regression,0.6147,0.9334,0.5924,0.6267,0.5999,0.5643,0.5695,0.041
ridge,Ridge Classifier,0.6147,0.0,0.5943,0.6222,0.5992,0.5648,0.5697,0.004
dt,Decision Tree Classifier,0.6027,0.8137,0.5874,0.6114,0.5849,0.5523,0.5567,0.005
et,Extra Trees Classifier,0.6007,0.8937,0.582,0.5968,0.5792,0.5487,0.554,0.06
rf,Random Forest Classifier,0.5967,0.9217,0.5798,0.5917,0.5753,0.5439,0.549,0.054
svm,SVM - Linear Kernel,0.5767,0.0,0.5687,0.6178,0.5666,0.5239,0.5301,0.008
ada,Ada Boost Classifier,0.4014,0.7889,0.3771,0.3821,0.3555,0.3174,0.3284,0.024
