Column1,Lambda_Max
Bovine,500
S1,502
S2,502
S3,481
S4,494
S5,494
S6,491
S7,486
S8,490
S9,490
S10,499
S11,493
S12,498
S13,495
S14,499
S15,492
S16,501
S17,488
S18,487
S19,498
S20,502
S21,500
S22,497
S23,488
S24,501
S25,504
S26,496
S27,500
S28,498
S29,505
S30,500
S31,490
S32,498
S33,502
S34,484
S35,488
S36,501
S37,488
S38,491
S39,503
S40,497.9
S41,500
S42,491
S43,497
S44,494
S45,493
S46,492
S47,489
S48,501
S49,501
S50,501
S51,501
S52,482
S53,502
S54,501
S55,502
S56,496
S57,485
S58,486
S59,486
S60,485
S61,496
S62,483
S63,526
S64,489
S65,492
S66,507
S67,486
S68,491
S69,479
S70,504
S71,483
S72,500
S73,489
S74,524
S75,467
S76,452
S77,496
S78,467
S79,467
S80,488
S81,505
S82,536
S83,501
S84,562.8
S85,463
S86,359
S87,355
S88,423
S89,356
S90,358
S91,360
S92,393
S93,359
S94,415
S95,363
S96,414
S97,359
S98,358
S99,438
S100,420
S101,419
S102,420
S103,489
S104,488
S105,484
S106,501
S107,498
S108,502
S109,571
S110,540
S111,463
S112,492
S113,503
S114,505
S115,485
S116,502
S117,502
S118,500
S119,506
S120,502
S121,502
S122,503
S123,488
S124,511
S125,506
S126,495
S127,467
S128,503
S129,505
S130,508
S131,359
S132,425
S133,358
S134,393
S135,415
S136,371
S137,424
S138,359
S139,358
S140,443
S141,437
S142,448
S143,441
S144,455
S145,559
S146,561
S147,558
S148,560
S149,571
S150,530
S151,560
S152,553
S153,509
S154,508
S155,509
S156,524
S157,553
S158,545
S159,531
S160,516
S161,532
S162,482
S163,481
S164,359
S165,435
S166,500
S167,569
S168,352
S169,578
S170,571
S171,562
S172,516
S173,519
S174,516
S175,476
S176,438
S177,408
S178,353
S179,503
S180,358
S181,439
S182,497
S183,492
S184,420
S185,358
S186,388
S187,419
S188,360
S189,360
S190,508
S191,505
S192,502
S193,498
S194,414
S195,383
S196,480
S197,450
S198,420
S199,561
