feature,p_value,score,BayesianRidge,lgbm,xgb,mean
p1_L,7.053988865914306e-46,215.32615593938203,0.06217603617401722,0.21621621621621623,2.7198328e-05,0.09280648357277721
p1_M,1.1203933106524089e-45,214.28344844954665,0.0023022880085972965,0.06756756756756757,9.940674e-06,0.02329326541682745
p1_NQFIPGAVKTH,2.3646996107214155e-06,22.4334046923299,0.046214328557839815,0.013513513513513514,1.12469925e-05,0.019913029687941633
p2_G,0.3192427874722302,0.992653759017192,0.0,0.0,0.0,0.0
p2_GAP,2.7571274865633414e-105,551.6590621076208,0.03143208217461729,0.013513513513513514,6.0967934e-05,0.015002187873936137
p2_M,2.0864918730100726e-13,54.8421855932907,0.0035597071355767244,0.0,0.0,0.0011865690451922414
p2_P,1.501734930041456e-41,193.00166236128675,0.052984873591816445,0.0,2.0292915e-05,0.017668388835604277
p2_S,2.369898743332725e-11,45.27052365608399,0.014167182349931683,0.0,0.0,0.004722394116643895
p2_VFKITREQ,0.022655985227238558,5.204593769488722,0.015848794781859563,0.013513513513513514,3.7592245e-06,0.009788689173276119
p3_E,6.804226779533678e-113,598.9986504079986,0.04667752187222846,0.013513513513513514,2.5682915e-05,0.020072239433678373
p3_G,3.5932692322302274e-41,191.06082746305384,0.11048300062794675,0.06756756756756757,4.9139697e-05,0.059366569297432954
p3_GAP,0.37547366069330634,0.7859003778057309,0.0,0.0,0.0,0.0
p3_L,1.741179271145939e-11,45.89130226352138,0.0321606098146721,0.0,2.836679e-05,0.010729658868391478
p3_MRISVDFQP,0.003115470870398994,8.764788307898606,0.04505666929588918,0.14864864864864866,1.0148375e-05,0.06457182210641695
p3_T,4.92367861536289e-24,105.55185493479925,0.05315681106159884,0.02702702702702703,1.1548362e-05,0.02673179548345077
p4_D,1.1806422769297436e-06,23.787980012167655,0.01325164808329885,0.0,0.00014098536,0.004464211146957989
p4_E,2.2964234542603084e-98,509.4760222265153,0.03173086780495153,0.04054054054054054,0.00016748294,0.024146297095168842
p4_GAP,0.06484363392859395,3.4135751000038543,0.014152590498714078,0.0,0.0005029212,0.004885170557975249
