,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6787,0.9323,0.6518,0.7011,0.6629,0.6355,0.6411,0.055
xgboost,Extreme Gradient Boosting,0.6658,0.9315,0.6431,0.6898,0.6526,0.6214,0.6266,0.252
gbc,Gradient Boosting Classifier,0.6617,0.9225,0.6396,0.6904,0.6505,0.6174,0.6223,0.259
lr,Logistic Regression,0.6554,0.939,0.6368,0.6724,0.642,0.6095,0.6154,0.037
rf,Random Forest Classifier,0.6491,0.9225,0.6299,0.6703,0.6322,0.6026,0.6076,0.059
dt,Decision Tree Classifier,0.6235,0.8288,0.6131,0.6503,0.6146,0.5761,0.5806,0.005
svm,SVM - Linear Kernel,0.6256,0.0,0.6114,0.6479,0.611,0.5767,0.5835,0.008
et,Extra Trees Classifier,0.6216,0.8944,0.6074,0.6499,0.6095,0.5724,0.5773,0.051
ridge,Ridge Classifier,0.6235,0.0,0.6053,0.639,0.6042,0.5732,0.5792,0.004
ada,Ada Boost Classifier,0.3254,0.712,0.2473,0.1514,0.1991,0.2179,0.2428,0.022
