,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lr,Logistic Regression,0.6428,0.9224,0.6199,0.6445,0.6271,0.5951,0.5987,0.046
xgboost,Extreme Gradient Boosting,0.6407,0.9165,0.6209,0.65,0.6255,0.5935,0.5975,0.289
et,Extra Trees Classifier,0.6327,0.8743,0.6113,0.6558,0.6179,0.5838,0.5896,0.05
lightgbm,Light Gradient Boosting Machine,0.6328,0.9232,0.6129,0.6331,0.6174,0.5842,0.5877,0.057
gbc,Gradient Boosting Classifier,0.6267,0.913,0.6066,0.6393,0.6124,0.5778,0.5813,0.29
ridge,Ridge Classifier,0.621,0.0,0.6073,0.6212,0.6051,0.5714,0.5748,0.004
dt,Decision Tree Classifier,0.6107,0.8225,0.5918,0.6383,0.6011,0.5606,0.5658,0.005
rf,Random Forest Classifier,0.6168,0.9157,0.5941,0.6189,0.5959,0.5653,0.5713,0.057
svm,SVM - Linear Kernel,0.5828,0.0,0.5712,0.6241,0.5691,0.5295,0.5351,0.008
ada,Ada Boost Classifier,0.2775,0.628,0.1982,0.1328,0.1638,0.1377,0.1738,0.024
