,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lr,Logistic Regression,0.6934,0.9397,0.6731,0.7106,0.6849,0.6528,0.6568,0.041
lightgbm,Light Gradient Boosting Machine,0.6787,0.9329,0.6606,0.7046,0.673,0.6364,0.6406,0.057
ridge,Ridge Classifier,0.672,0.0,0.6596,0.7079,0.668,0.6287,0.6335,0.004
gbc,Gradient Boosting Classifier,0.6743,0.9293,0.6586,0.6955,0.6673,0.6314,0.6355,0.273
xgboost,Extreme Gradient Boosting,0.6722,0.9328,0.6581,0.6999,0.6655,0.6292,0.6333,0.254
dt,Decision Tree Classifier,0.668,0.8368,0.657,0.6942,0.6631,0.6259,0.6296,0.005
rf,Random Forest Classifier,0.6702,0.9225,0.6549,0.688,0.6548,0.626,0.6312,0.057
et,Extra Trees Classifier,0.6659,0.8944,0.6546,0.6841,0.6529,0.622,0.6267,0.05
svm,SVM - Linear Kernel,0.6403,0.0,0.6428,0.7006,0.6316,0.5963,0.6053,0.008
ada,Ada Boost Classifier,0.3445,0.6525,0.2875,0.2022,0.2246,0.2243,0.2792,0.022
