,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
gbc,Gradient Boosting Classifier,0.6617,0.9241,0.6336,0.6792,0.6499,0.6176,0.6222,0.266
lightgbm,Light Gradient Boosting Machine,0.6617,0.9301,0.6391,0.6766,0.6496,0.6177,0.6215,0.054
xgboost,Extreme Gradient Boosting,0.6555,0.9284,0.6297,0.6793,0.647,0.6102,0.6146,0.263
lr,Logistic Regression,0.6554,0.9353,0.6341,0.673,0.6446,0.6102,0.6144,0.037
ridge,Ridge Classifier,0.6555,0.0,0.6377,0.6667,0.6439,0.6103,0.6144,0.004
rf,Random Forest Classifier,0.6278,0.9122,0.6048,0.6425,0.612,0.5789,0.5835,0.057
et,Extra Trees Classifier,0.6237,0.878,0.6033,0.6389,0.6106,0.5747,0.5785,0.051
dt,Decision Tree Classifier,0.6068,0.8,0.5826,0.6159,0.5916,0.556,0.56,0.004
svm,SVM - Linear Kernel,0.5793,0.0,0.5759,0.6218,0.5687,0.5267,0.5349,0.008
ada,Ada Boost Classifier,0.2789,0.7406,0.2562,0.2179,0.2117,0.189,0.2044,0.025
