,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6638,0.9361,0.6446,0.6754,0.6518,0.6212,0.6255,0.054
lr,Logistic Regression,0.6594,0.9428,0.6437,0.6686,0.6485,0.6158,0.6197,0.036
xgboost,Extreme Gradient Boosting,0.6553,0.9332,0.6353,0.6706,0.6463,0.6114,0.6151,0.25
ridge,Ridge Classifier,0.653,0.0,0.6361,0.6763,0.6443,0.6086,0.6129,0.004
gbc,Gradient Boosting Classifier,0.6469,0.9294,0.6229,0.6544,0.6342,0.6019,0.6062,0.275
et,Extra Trees Classifier,0.6447,0.8892,0.6256,0.6591,0.6306,0.5985,0.6046,0.049
rf,Random Forest Classifier,0.6363,0.9173,0.6166,0.6501,0.6211,0.5888,0.5943,0.058
dt,Decision Tree Classifier,0.6258,0.8151,0.6072,0.6433,0.6125,0.5783,0.5832,0.005
svm,SVM - Linear Kernel,0.6213,0.0,0.616,0.6685,0.612,0.5753,0.582,0.007
ada,Ada Boost Classifier,0.3549,0.7557,0.3007,0.3045,0.2806,0.257,0.2785,0.022
