,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lr,Logistic Regression,0.6427,0.9183,0.5945,0.6685,0.6262,0.5934,0.5986,0.046
xgboost,Extreme Gradient Boosting,0.6387,0.9157,0.5937,0.6523,0.6196,0.5897,0.5952,0.307
lightgbm,Light Gradient Boosting Machine,0.6347,0.9181,0.5958,0.6465,0.6172,0.5853,0.5912,0.062
gbc,Gradient Boosting Classifier,0.6307,0.9029,0.5849,0.6422,0.6126,0.581,0.5862,0.298
ridge,Ridge Classifier,0.6169,0.0,0.5761,0.6497,0.609,0.5652,0.5689,0.004
et,Extra Trees Classifier,0.6227,0.8801,0.5817,0.6423,0.6077,0.5716,0.5767,0.058
rf,Random Forest Classifier,0.6189,0.9075,0.5778,0.6263,0.6003,0.5663,0.5716,0.056
dt,Decision Tree Classifier,0.6029,0.8124,0.5549,0.6152,0.5894,0.55,0.5547,0.005
svm,SVM - Linear Kernel,0.5989,0.0,0.56,0.6263,0.5807,0.5458,0.5522,0.01
ada,Ada Boost Classifier,0.3292,0.7555,0.3028,0.301,0.2864,0.2381,0.2466,0.024
