,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
gbc,Gradient Boosting Classifier,0.6327,0.9155,0.6099,0.6492,0.6152,0.5864,0.5915,0.298
lightgbm,Light Gradient Boosting Machine,0.6228,0.925,0.6046,0.6314,0.6065,0.5751,0.5795,0.071
lr,Logistic Regression,0.6207,0.9244,0.5967,0.637,0.6014,0.5723,0.5779,0.047
rf,Random Forest Classifier,0.6167,0.9137,0.5949,0.6325,0.5972,0.5664,0.5719,0.056
xgboost,Extreme Gradient Boosting,0.6128,0.919,0.5936,0.6121,0.5942,0.5638,0.568,0.305
dt,Decision Tree Classifier,0.5907,0.8148,0.5737,0.612,0.5816,0.5395,0.5438,0.005
et,Extra Trees Classifier,0.5928,0.8852,0.5772,0.6179,0.5786,0.5406,0.5457,0.051
ridge,Ridge Classifier,0.5909,0.0,0.5717,0.6057,0.5735,0.5388,0.5442,0.004
svm,SVM - Linear Kernel,0.5868,0.0,0.5733,0.6452,0.571,0.5358,0.5456,0.008
ada,Ada Boost Classifier,0.2833,0.6377,0.2126,0.1452,0.17,0.1531,0.1918,0.023
