,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
xgboost,Extreme Gradient Boosting,0.6658,0.9275,0.6432,0.6829,0.6557,0.6224,0.6269,0.262
lightgbm,Light Gradient Boosting Machine,0.6593,0.9272,0.6352,0.683,0.6524,0.6154,0.6201,0.052
lr,Logistic Regression,0.6489,0.9354,0.6273,0.6689,0.6394,0.6031,0.6082,0.039
gbc,Gradient Boosting Classifier,0.6425,0.9235,0.6198,0.6636,0.6317,0.5965,0.6017,0.269
et,Extra Trees Classifier,0.6383,0.8864,0.6216,0.6616,0.6285,0.5921,0.5973,0.051
rf,Random Forest Classifier,0.6426,0.9116,0.6179,0.6517,0.6276,0.5957,0.6007,0.062
ridge,Ridge Classifier,0.636,0.0,0.6122,0.656,0.6275,0.5892,0.5946,0.004
dt,Decision Tree Classifier,0.632,0.8274,0.6144,0.6557,0.619,0.5852,0.5904,0.005
svm,SVM - Linear Kernel,0.6236,0.0,0.6104,0.6541,0.6076,0.575,0.583,0.008
ada,Ada Boost Classifier,0.3254,0.7014,0.2777,0.2019,0.2248,0.2182,0.244,0.022
