,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6585,0.9425,0.6484,0.6771,0.64,0.6148,0.6202,0.058
xgboost,Extreme Gradient Boosting,0.6565,0.9384,0.6429,0.6712,0.6395,0.6123,0.6171,0.291
et,Extra Trees Classifier,0.6465,0.9,0.6371,0.6698,0.6326,0.6011,0.6063,0.05
dt,Decision Tree Classifier,0.6365,0.8467,0.6272,0.6652,0.6239,0.5906,0.596,0.005
gbc,Gradient Boosting Classifier,0.6347,0.9346,0.6231,0.6562,0.6216,0.5883,0.5938,0.287
rf,Random Forest Classifier,0.6327,0.9282,0.6264,0.6542,0.6157,0.5849,0.5907,0.058
lr,Logistic Regression,0.6207,0.9338,0.6079,0.6279,0.601,0.5713,0.5764,0.049
svm,SVM - Linear Kernel,0.6087,0.0,0.6002,0.6328,0.5938,0.559,0.5655,0.008
ridge,Ridge Classifier,0.6107,0.0,0.5987,0.6106,0.5928,0.5599,0.5643,0.004
ada,Ada Boost Classifier,0.2714,0.624,0.2107,0.1376,0.1645,0.1389,0.1785,0.026
