,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6702,0.9281,0.6498,0.6978,0.6621,0.6269,0.6311,0.055
xgboost,Extreme Gradient Boosting,0.6597,0.9296,0.6401,0.6843,0.6538,0.6155,0.6189,0.252
gbc,Gradient Boosting Classifier,0.647,0.918,0.6271,0.6711,0.6397,0.601,0.6046,0.27
ridge,Ridge Classifier,0.6512,0.0,0.6334,0.6644,0.6378,0.6058,0.6106,0.004
lr,Logistic Regression,0.6406,0.9312,0.6246,0.6521,0.6267,0.5933,0.5979,0.039
et,Extra Trees Classifier,0.6318,0.8924,0.6254,0.6622,0.6233,0.5842,0.5893,0.05
rf,Random Forest Classifier,0.6233,0.9154,0.6153,0.6464,0.61,0.5735,0.5791,0.055
dt,Decision Tree Classifier,0.6063,0.8072,0.5995,0.6331,0.5972,0.5568,0.5606,0.005
svm,SVM - Linear Kernel,0.5835,0.0,0.5836,0.6226,0.5706,0.532,0.5397,0.008
ada,Ada Boost Classifier,0.3362,0.7245,0.2993,0.2148,0.241,0.2332,0.255,0.023
