,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
xgboost,Extreme Gradient Boosting,0.6511,0.9302,0.6358,0.6643,0.641,0.6047,0.6082,0.332
lightgbm,Light Gradient Boosting Machine,0.6467,0.9334,0.6328,0.6742,0.6365,0.6,0.6046,0.063
gbc,Gradient Boosting Classifier,0.6447,0.9242,0.6242,0.6625,0.6326,0.5975,0.6018,0.274
lr,Logistic Regression,0.6447,0.9367,0.6254,0.6601,0.6302,0.5972,0.6019,0.039
ridge,Ridge Classifier,0.634,0.0,0.6196,0.6477,0.6203,0.5856,0.5899,0.004
et,Extra Trees Classifier,0.632,0.8849,0.6197,0.6417,0.6176,0.5837,0.5878,0.05
rf,Random Forest Classifier,0.632,0.9131,0.6197,0.6394,0.6152,0.583,0.5876,0.056
dt,Decision Tree Classifier,0.6106,0.813,0.6067,0.6351,0.6083,0.5612,0.5645,0.005
svm,SVM - Linear Kernel,0.5916,0.0,0.5948,0.62,0.5711,0.5405,0.5521,0.008
ada,Ada Boost Classifier,0.3361,0.7064,0.2758,0.2124,0.2361,0.2325,0.2568,0.021
