,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6526,0.9297,0.6231,0.6717,0.6428,0.6065,0.6102,0.055
gbc,Gradient Boosting Classifier,0.6485,0.9182,0.625,0.6586,0.6347,0.602,0.6062,0.281
xgboost,Extreme Gradient Boosting,0.6406,0.9307,0.6136,0.6662,0.6324,0.5933,0.5975,0.287
lr,Logistic Regression,0.6447,0.9264,0.6137,0.6598,0.6302,0.5968,0.6009,0.039
et,Extra Trees Classifier,0.6286,0.8917,0.6076,0.6516,0.6199,0.5795,0.5832,0.054
dt,Decision Tree Classifier,0.6207,0.8216,0.5985,0.6557,0.6188,0.5717,0.5751,0.005
ridge,Ridge Classifier,0.6227,0.0,0.5915,0.6335,0.6065,0.5716,0.5764,0.004
rf,Random Forest Classifier,0.6126,0.9145,0.5864,0.6263,0.5975,0.5603,0.5644,0.061
svm,SVM - Linear Kernel,0.5867,0.0,0.5643,0.6098,0.5692,0.5326,0.5394,0.008
ada,Ada Boost Classifier,0.3373,0.757,0.304,0.2935,0.2875,0.246,0.2563,0.023
