,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lr,Logistic Regression,0.6647,0.9325,0.631,0.6689,0.6457,0.6189,0.6239,0.056
lightgbm,Light Gradient Boosting Machine,0.6487,0.9324,0.617,0.6516,0.6294,0.6015,0.6061,0.067
xgboost,Extreme Gradient Boosting,0.6387,0.9303,0.6057,0.6407,0.6231,0.591,0.5948,0.348
rf,Random Forest Classifier,0.6366,0.9215,0.6095,0.6584,0.6217,0.5875,0.5925,0.058
gbc,Gradient Boosting Classifier,0.6307,0.9171,0.5996,0.6406,0.62,0.5821,0.5859,0.343
ridge,Ridge Classifier,0.6409,0.0,0.6082,0.6346,0.6196,0.5919,0.5969,0.004
et,Extra Trees Classifier,0.6307,0.8928,0.602,0.6609,0.6162,0.5817,0.5871,0.065
svm,SVM - Linear Kernel,0.6228,0.0,0.5907,0.6496,0.6007,0.5717,0.5798,0.009
dt,Decision Tree Classifier,0.6088,0.8174,0.5893,0.6406,0.599,0.5581,0.5631,0.005
ada,Ada Boost Classifier,0.3394,0.7142,0.2901,0.2694,0.2606,0.2336,0.2555,0.026
