,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
xgboost,Extreme Gradient Boosting,0.6426,0.9181,0.6296,0.6675,0.6332,0.5962,0.6007,0.264
gbc,Gradient Boosting Classifier,0.6383,0.913,0.6213,0.6546,0.6284,0.5912,0.595,0.281
lr,Logistic Regression,0.6363,0.9267,0.6194,0.6604,0.6264,0.5882,0.593,0.039
lightgbm,Light Gradient Boosting Machine,0.63,0.9195,0.6133,0.6598,0.6236,0.5822,0.5861,0.055
ridge,Ridge Classifier,0.6342,0.0,0.619,0.652,0.6231,0.5868,0.5906,0.004
rf,Random Forest Classifier,0.6194,0.9012,0.6029,0.6423,0.6081,0.5697,0.5744,0.056
et,Extra Trees Classifier,0.6045,0.8726,0.5947,0.6321,0.5931,0.5536,0.5587,0.055
dt,Decision Tree Classifier,0.5857,0.7955,0.5718,0.6107,0.5733,0.533,0.5379,0.005
svm,SVM - Linear Kernel,0.5665,0.0,0.5727,0.6151,0.5503,0.5136,0.5244,0.008
ada,Ada Boost Classifier,0.2496,0.7023,0.2096,0.1372,0.1631,0.1412,0.158,0.022
