,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
gbc,Gradient Boosting Classifier,0.6307,0.9206,0.6082,0.6533,0.6202,0.5835,0.5875,0.312
xgboost,Extreme Gradient Boosting,0.6307,0.9232,0.5979,0.648,0.6186,0.5825,0.5865,0.313
lr,Logistic Regression,0.6287,0.9207,0.6028,0.6469,0.6172,0.5801,0.5846,0.038
lightgbm,Light Gradient Boosting Machine,0.6267,0.9285,0.5937,0.6393,0.6125,0.5778,0.5822,0.058
rf,Random Forest Classifier,0.6027,0.9119,0.5783,0.6059,0.5859,0.5505,0.5552,0.054
et,Extra Trees Classifier,0.5887,0.8772,0.5662,0.6048,0.5787,0.536,0.5399,0.054
dt,Decision Tree Classifier,0.5809,0.809,0.5611,0.6125,0.5753,0.5286,0.5321,0.006
ridge,Ridge Classifier,0.5809,0.0,0.5583,0.5987,0.5694,0.5257,0.5301,0.004
svm,SVM - Linear Kernel,0.5688,0.0,0.5476,0.6022,0.5542,0.5144,0.5213,0.009
ada,Ada Boost Classifier,0.3114,0.735,0.2831,0.2786,0.2614,0.2173,0.2292,0.028
