,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6511,0.9364,0.6303,0.6675,0.6365,0.6063,0.6116,0.054
lr,Logistic Regression,0.6426,0.9395,0.6251,0.6565,0.6261,0.597,0.6038,0.037
xgboost,Extreme Gradient Boosting,0.6405,0.9298,0.6215,0.6523,0.6235,0.5946,0.6008,0.248
gbc,Gradient Boosting Classifier,0.6344,0.9268,0.6152,0.6562,0.6157,0.588,0.5951,0.26
dt,Decision Tree Classifier,0.6277,0.8287,0.6189,0.6455,0.6155,0.582,0.587,0.005
ridge,Ridge Classifier,0.6319,0.0,0.6145,0.6424,0.6147,0.5841,0.5903,0.004
rf,Random Forest Classifier,0.6319,0.9181,0.6123,0.6358,0.6129,0.5846,0.5904,0.055
et,Extra Trees Classifier,0.6129,0.8888,0.5962,0.6235,0.5961,0.563,0.5689,0.051
svm,SVM - Linear Kernel,0.5917,0.0,0.59,0.613,0.5679,0.541,0.5507,0.008
ada,Ada Boost Classifier,0.2747,0.7218,0.2133,0.1636,0.1773,0.1578,0.1813,0.022
