,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lr,Logistic Regression,0.6307,0.929,0.5856,0.6422,0.6146,0.5816,0.5861,0.041
lightgbm,Light Gradient Boosting Machine,0.6227,0.9291,0.5826,0.643,0.6096,0.5731,0.5774,0.056
xgboost,Extreme Gradient Boosting,0.6207,0.9285,0.5807,0.636,0.6063,0.5713,0.5749,0.282
dt,Decision Tree Classifier,0.6108,0.8271,0.5752,0.634,0.5993,0.5606,0.5646,0.005
gbc,Gradient Boosting Classifier,0.6107,0.9161,0.5674,0.6319,0.5968,0.56,0.5642,0.335
ridge,Ridge Classifier,0.6207,0.0,0.5791,0.6247,0.5961,0.5697,0.5753,0.004
et,Extra Trees Classifier,0.6068,0.8773,0.5707,0.6281,0.5957,0.5553,0.5591,0.051
svm,SVM - Linear Kernel,0.6067,0.0,0.5732,0.6269,0.5887,0.5555,0.5607,0.008
rf,Random Forest Classifier,0.5987,0.9155,0.5598,0.6162,0.5782,0.545,0.5501,0.06
ada,Ada Boost Classifier,0.3574,0.729,0.3286,0.3316,0.3143,0.2718,0.2831,0.022
