,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
gbc,Gradient Boosting Classifier,0.6404,0.9294,0.6091,0.6699,0.6293,0.5932,0.5985,0.252
xgboost,Extreme Gradient Boosting,0.6426,0.9289,0.6101,0.665,0.6264,0.5949,0.6008,0.251
lightgbm,Light Gradient Boosting Machine,0.6405,0.9276,0.6061,0.6608,0.6246,0.593,0.5982,0.047
lr,Logistic Regression,0.6405,0.9286,0.6079,0.6591,0.6232,0.5926,0.5987,0.036
ridge,Ridge Classifier,0.634,0.0,0.5981,0.6569,0.6174,0.585,0.5918,0.004
et,Extra Trees Classifier,0.632,0.8989,0.6036,0.6613,0.6173,0.5835,0.5892,0.051
rf,Random Forest Classifier,0.6088,0.9151,0.5717,0.6287,0.5908,0.5561,0.5619,0.053
dt,Decision Tree Classifier,0.5936,0.8107,0.5787,0.6459,0.5886,0.5422,0.5475,0.005
svm,SVM - Linear Kernel,0.6131,0.0,0.5991,0.6263,0.5851,0.5651,0.5748,0.008
ada,Ada Boost Classifier,0.3232,0.7146,0.2535,0.2296,0.2386,0.2134,0.2333,0.02
