,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
xgboost,Extreme Gradient Boosting,0.6388,0.924,0.6057,0.6373,0.6213,0.5924,0.5963,0.306
lightgbm,Light Gradient Boosting Machine,0.6328,0.9272,0.6023,0.6283,0.612,0.5858,0.5902,0.057
gbc,Gradient Boosting Classifier,0.6308,0.9128,0.5937,0.6228,0.6114,0.583,0.5867,0.308
lr,Logistic Regression,0.6228,0.9234,0.5876,0.6124,0.6034,0.5736,0.5781,0.046
dt,Decision Tree Classifier,0.6127,0.8253,0.5903,0.615,0.5993,0.5653,0.5691,0.005
ridge,Ridge Classifier,0.6209,0.0,0.5883,0.6111,0.5982,0.5715,0.576,0.005
svm,SVM - Linear Kernel,0.6167,0.0,0.5942,0.6405,0.5948,0.5696,0.5792,0.008
et,Extra Trees Classifier,0.6147,0.8893,0.5893,0.6113,0.5941,0.5654,0.5699,0.051
rf,Random Forest Classifier,0.6067,0.9139,0.5768,0.5953,0.5814,0.5554,0.5606,0.057
ada,Ada Boost Classifier,0.3453,0.7662,0.3153,0.3056,0.2869,0.2573,0.2704,0.024
