,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lr,Logistic Regression,0.6347,0.93,0.6098,0.6564,0.6241,0.5875,0.5917,0.042
xgboost,Extreme Gradient Boosting,0.6247,0.9267,0.6001,0.6495,0.612,0.5765,0.5807,0.296
gbc,Gradient Boosting Classifier,0.6207,0.917,0.6028,0.6357,0.609,0.5726,0.5761,0.29
lightgbm,Light Gradient Boosting Machine,0.6206,0.9275,0.597,0.6363,0.6079,0.572,0.5755,0.058
ridge,Ridge Classifier,0.6169,0.0,0.5893,0.6296,0.6039,0.5673,0.5718,0.004
dt,Decision Tree Classifier,0.5988,0.8154,0.5878,0.6278,0.592,0.549,0.5527,0.005
svm,SVM - Linear Kernel,0.6067,0.0,0.5901,0.6325,0.5889,0.5569,0.5634,0.008
et,Extra Trees Classifier,0.5986,0.8806,0.5844,0.6117,0.5864,0.5473,0.5512,0.054
rf,Random Forest Classifier,0.5867,0.9073,0.5693,0.5932,0.5693,0.5332,0.5373,0.057
ada,Ada Boost Classifier,0.3235,0.7407,0.2961,0.2925,0.2708,0.2318,0.246,0.024
