,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6448,0.9284,0.6248,0.6574,0.6329,0.599,0.6022,0.055
xgboost,Extreme Gradient Boosting,0.6448,0.9288,0.6263,0.6545,0.6313,0.5988,0.6023,0.298
gbc,Gradient Boosting Classifier,0.6368,0.9217,0.6176,0.6511,0.6251,0.59,0.5935,0.288
lr,Logistic Regression,0.6348,0.9283,0.6154,0.6674,0.6242,0.5872,0.5924,0.042
et,Extra Trees Classifier,0.6347,0.8835,0.6214,0.6575,0.6216,0.5873,0.5926,0.058
dt,Decision Tree Classifier,0.6307,0.8228,0.6187,0.6497,0.6183,0.584,0.5887,0.005
ridge,Ridge Classifier,0.6109,0.0,0.5898,0.6399,0.5991,0.5599,0.5649,0.004
rf,Random Forest Classifier,0.6107,0.9179,0.5945,0.6266,0.5918,0.5593,0.5655,0.055
svm,SVM - Linear Kernel,0.6029,0.0,0.5839,0.6455,0.5869,0.551,0.5586,0.008
ada,Ada Boost Classifier,0.3233,0.6685,0.2643,0.2721,0.2567,0.2134,0.2324,0.024
