,feature,Light Gradient Boosting Machine,Extreme Gradient Boosting,Gradient Boosting Classifier,mean_imp
0,1,0.0,0.0,0.0,0.0
1,2,0.0,0.0,0.0,0.0
2,3,0.0,0.0,0.0,0.0
3,4,0.0,0.0,0.0,0.0
4,5,0.0,0.0,0.0,0.0
5,6,0.0,0.0,0.0,0.0
6,7,0.0,0.0,0.0,0.0
7,8,0.0,0.0,0.0,0.0
8,9,0.0,0.0,0.0,0.0
9,10,0.0,0.0,0.0,0.0
10,11,0.0,0.0,0.0,0.0
11,12,0.0,0.0,0.0,0.0
12,13,0.0,0.0,0.0,0.0
13,14,0.0,0.0,0.0,0.0
14,15,0.0,0.0,0.0,0.0
15,16,0.0,0.0,0.0,0.0
16,17,0.0,0.0,0.0,0.0
17,18,0.0,0.0,0.0,0.0
18,19,0.0,0.0,0.0,0.0
19,20,0.0,0.0,0.0,0.0
20,21,0.0,0.0,0.0,0.0
21,22,0.0,0.0,0.0,0.0
22,23,0.0,0.0,0.0,0.0
23,24,0.0,0.0,0.0,0.0
24,25,0.0,0.0,0.0,0.0
25,26,0.0,0.0,0.0,0.0
26,27,0.0,0.0,0.0,0.0
27,28,0.0,0.0,0.0,0.0
28,29,0.0,0.0,0.0,0.0
29,30,0.0,0.0,0.0,0.0
30,31,0.0,0.0,0.0,0.0
31,32,0.0,0.0,0.0,0.0
32,33,0.0,0.0,0.0,0.0
33,34,0.0,0.0,0.0,0.0
34,35,0.0,0.0,0.0,0.0
35,36,0.0,0.0,0.0,0.0
36,37,0.0,0.0,0.0,0.0
37,38,0.0,0.0,0.0,0.0
38,39,0.0,0.0,0.0,0.0
39,40,0.0,0.0,0.0,0.0
40,41,0.0,0.0,0.0,0.0
41,42,0.0,0.0,0.0,0.0
42,43,0.0,0.0,0.0,0.0
43,44,0.0,0.0,0.0,0.0
44,45,0.0,0.0,0.0,0.0
45,46,0.0,0.0,0.0,0.0
46,47,0.0,0.0,0.0,0.0
47,48,0.0,0.0,0.0,0.0
48,49,0.0,0.0,0.0,0.0
49,50,0.0,0.0,0.0,0.0
50,51,0.0,0.0,0.0,0.0
51,52,0.0,0.0,0.0,0.0
52,53,0.0,0.0,0.0,0.0
53,54,0.0,0.0,0.0,0.0
54,55,0.0,0.0,0.0,0.0
55,56,0.0,0.0,0.0,0.0
56,57,0.0,0.0,0.0,0.0
57,58,0.0,0.0,0.0,0.0
58,59,0.0,0.0,0.0,0.0
59,60,0.0,0.0,0.0,0.0
60,61,0.0,0.0,0.0,0.0
61,62,0.0,0.0,0.0,0.0
62,63,0.0,0.0,0.0,0.0
63,64,0.0,0.0,0.0,0.0
64,65,0.0,0.0,0.0,0.0
65,66,0.3685800604229607,0.14600796,0.6213833642014518,0.3786571265662409
66,67,0.0075528700906344415,0.015462273,0.02668124833718541,0.016565463742775004
67,68,0.297583081570997,0.15533832,0.5334530561160562,0.3287914849476304
68,69,0.229607250755287,0.018461002,0.07810681778316801,0.10872502352512804
69,70,0.3595166163141994,0.05861605,0.17052272334912283,0.19621846308368296
70,71,0.270392749244713,0.097136155,0.26876114251837957,0.21209668217798125
71,72,0.0,0.0,0.0,0.0
72,73,0.0,0.0,0.0,0.0
73,74,0.0,0.0,0.0,0.0
74,75,0.0075528700906344415,0.015462273,0.02668124833718541,0.016565463742775004
75,76,0.22507552870090636,0.034411944,0.10117012230994454,0.12021919848659961
76,77,0.13746223564954682,0.05561732,0.11909715390314024,0.10405890361177077
77,78,0.24471299093655588,0.049385548,0.13146931445753882,0.14185595101067805
78,79,0.0,0.0,0.0,0.0
79,80,0.0,0.0,0.0,0.0
80,81,0.015105740181268883,0.030924546,0.05336249667437082,0.03313092748555001
81,82,0.14652567975830816,0.12148267,0.6149163124408706,0.2943082208354461
82,83,0.0,0.0,0.0,0.0
83,84,0.0,0.0,0.0,0.0
84,85,0.0,0.0,0.0,0.0
85,86,0.0,0.0,0.0,0.0
86,87,0.0,0.0,0.0,0.0
87,88,0.0,0.0,0.0,0.0
88,89,0.0,0.0,0.0,0.0
89,90,0.0,0.0,0.0,0.0
90,91,0.0,0.0,0.0,0.0
91,92,0.0,0.0,0.0,0.0
92,93,0.0,0.0,0.0,0.0
93,94,0.0,0.0,0.0,0.0
94,95,0.23716012084592145,0.033923276,0.10478806612035342,0.1252904875783439
95,96,0.12235649546827794,0.024692774,0.06573465722876941,0.07092797550533902
96,97,0.11782477341389729,0.040643718,0.08879796175554594,0.0824221510876923
97,98,0.4561933534743202,0.090777926,0.27056783009488006,0.27251303657206144
98,99,0.3157099697885196,0.03535737,0.2118517325060032,0.18763969108905207
99,100,0.07250755287009064,0.03298924,0.0996362835911226,0.06837769254800578
100,101,0.21601208459214502,0.041454267,0.10150871207906106,0.11965835447599305
101,102,0.0,0.0,0.0,0.0
102,103,0.0,0.0,0.0,0.0
103,104,0.0,0.0,0.0,0.0
104,105,0.0,0.0,0.0,0.0
105,106,0.0,0.0,0.0,0.0
106,107,0.0,0.0,0.0,0.0
107,108,0.0,0.0,0.0,0.0
108,109,0.0,0.0,0.0,0.0
109,110,0.0,0.0,0.0,0.0
110,111,0.2764350453172205,0.027054265,0.07744373709419404,0.1269776825176339
111,112,0.4879154078549849,0.17408559,1.0,0.5540003317060308
112,113,0.4561933534743202,0.04612184,0.12291936491320447,0.20841151927381105
113,114,0.1299093655589124,0.040155046,0.09241590556595482,0.08749343893767318
114,115,0.1268882175226586,0.120014966,0.5673725166601593,0.2714252332390094
115,116,0.17069486404833836,0.06372399,0.08570054508555114,0.1067064659883109
116,117,0.12235649546827794,0.024692774,0.06573465722876941,0.07092797550533902
117,118,0.015105740181268883,0.030924546,0.05336249667437082,0.03313092748555001
118,119,0.15861027190332327,0.051477153,0.07298858722453626,0.09435867066068791
119,120,0.5362537764350453,0.011959902,0.15046893581667778,0.23289420475419373
120,121,0.229607250755287,0.018461002,0.07810681778316801,0.10872502352512804
121,122,0.1299093655589124,0.040155046,0.09241590556595482,0.08749343893767318
122,123,1.0,0.05635867,0.584186433616398,0.5468483675231928
123,124,0.49395770392749244,0.014817466,0.053280367543844256,0.1873518458331238
124,125,0.0075528700906344415,0.015462273,0.02668124833718541,0.016565463742775004
125,126,0.2854984894259819,0.050929774,0.14656299965185943,0.1609970875589169
126,127,0.027190332326283987,0.3749433,0.3701348651519308,0.257422827886237
127,128,0.3021148036253776,0.039389327,0.12987006621212452,0.1571247323353223
128,129,0.0,0.0,0.0,0.0
129,130,0.23867069486404835,0.016809914,0.11744845686463766,0.1243096886632629
130,131,0.26435045317220546,0.020549405,0.07929290720606043,0.12139758858148274
131,132,0.0,0.0,0.0,0.0
132,133,0.0,0.0,0.0,0.0
133,134,0.1148036253776435,0.009230501,0.039053408891584006,0.05436251176256402
134,135,0.0075528700906344415,0.015462273,0.02668124833718541,0.016565463742775004
135,136,0.3942598187311178,0.052797955,0.14826596402938405,0.1984412457633419
136,137,0.022658610271903322,0.04638682,0.08004374501155623,0.04969639153876587
137,138,0.0075528700906344415,0.015462273,0.02668124833718541,0.016565463742775004
138,139,0.46827794561933533,0.0586798,0.34453613072717293,0.2904979589423708
139,140,0.7129909365558912,0.030762015,0.5239733266758052,0.42257542604742504
140,141,0.25226586102719034,0.06484782,0.15815056279472425,0.1584214144430122
141,142,0.0,0.0,0.0,0.0
142,143,0.0,0.0,0.0,0.0
143,144,0.015105740181268883,0.030924546,0.05336249667437082,0.03313092748555001
144,145,0.0,0.0,0.0,0.0
145,146,0.0075528700906344415,0.015462273,0.02668124833718541,0.016565463742775004
146,147,0.12235649546827794,0.024692774,0.06573465722876941,0.07092797550533902
147,148,0.0075528700906344415,0.015462273,0.02668124833718541,0.016565463742775004
148,149,0.0075528700906344415,0.015462273,0.02668124833718541,0.016565463742775004
