,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6723,0.9352,0.6522,0.6838,0.6532,0.629,0.6341,0.061
lr,Logistic Regression,0.6657,0.938,0.6462,0.6783,0.6482,0.6211,0.6261,0.044
xgboost,Extreme Gradient Boosting,0.6595,0.9305,0.6357,0.669,0.6368,0.6138,0.6197,0.282
ridge,Ridge Classifier,0.6488,0.0,0.6234,0.6691,0.6337,0.6014,0.6062,0.004
svm,SVM - Linear Kernel,0.6343,0.0,0.6316,0.6579,0.6202,0.5873,0.5951,0.009
gbc,Gradient Boosting Classifier,0.6383,0.9195,0.6161,0.6446,0.6185,0.5904,0.5953,0.292
rf,Random Forest Classifier,0.6405,0.9085,0.6187,0.6298,0.6143,0.5919,0.5986,0.063
dt,Decision Tree Classifier,0.6085,0.8189,0.5909,0.613,0.593,0.5579,0.5619,0.005
et,Extra Trees Classifier,0.615,0.888,0.5958,0.6062,0.5925,0.5639,0.5693,0.058
ada,Ada Boost Classifier,0.2996,0.7224,0.2639,0.2042,0.2275,0.1985,0.2122,0.024
