,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
xgboost,Extreme Gradient Boosting,0.649,0.929,0.6178,0.6611,0.6369,0.6019,0.6059,0.263
lr,Logistic Regression,0.6449,0.931,0.615,0.6597,0.6317,0.5967,0.6015,0.037
gbc,Gradient Boosting Classifier,0.6365,0.923,0.6093,0.6505,0.6241,0.5882,0.5928,0.266
lightgbm,Light Gradient Boosting Machine,0.6363,0.9336,0.6058,0.639,0.6207,0.5868,0.5911,0.054
ridge,Ridge Classifier,0.6321,0.0,0.5992,0.6436,0.6194,0.5817,0.5862,0.004
rf,Random Forest Classifier,0.6152,0.9098,0.5878,0.6176,0.5993,0.5629,0.5675,0.055
et,Extra Trees Classifier,0.6132,0.8897,0.5908,0.62,0.597,0.5618,0.5666,0.061
svm,SVM - Linear Kernel,0.6024,0.0,0.5947,0.6348,0.5954,0.5529,0.56,0.008
dt,Decision Tree Classifier,0.6044,0.8271,0.5765,0.6202,0.5908,0.5522,0.5575,0.005
ada,Ada Boost Classifier,0.283,0.6894,0.2321,0.1739,0.1948,0.1737,0.1933,0.021
