,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.647,0.9264,0.6312,0.6628,0.6355,0.6017,0.606,0.053
xgboost,Extreme Gradient Boosting,0.6407,0.9244,0.6164,0.6555,0.628,0.5935,0.598,0.25
gbc,Gradient Boosting Classifier,0.6387,0.9167,0.618,0.646,0.6266,0.5919,0.5957,0.257
lr,Logistic Regression,0.6385,0.9277,0.6184,0.6533,0.6234,0.5914,0.5962,0.038
dt,Decision Tree Classifier,0.624,0.8307,0.6096,0.6487,0.6207,0.5767,0.5799,0.005
rf,Random Forest Classifier,0.6323,0.9145,0.6151,0.6395,0.6179,0.5838,0.5881,0.058
ridge,Ridge Classifier,0.6279,0.0,0.6067,0.631,0.6121,0.5796,0.5835,0.004
et,Extra Trees Classifier,0.6176,0.8899,0.6024,0.6325,0.6064,0.5679,0.5722,0.051
svm,SVM - Linear Kernel,0.5917,0.0,0.5829,0.6078,0.569,0.5405,0.5495,0.008
ada,Ada Boost Classifier,0.2874,0.7021,0.2158,0.145,0.1839,0.1696,0.1904,0.022
