,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6346,0.9284,0.6092,0.6601,0.6208,0.5877,0.5929,0.061
xgboost,Extreme Gradient Boosting,0.6227,0.9279,0.5956,0.6436,0.6097,0.5738,0.5782,0.303
lr,Logistic Regression,0.6148,0.9284,0.5841,0.6354,0.6003,0.5643,0.5692,0.042
gbc,Gradient Boosting Classifier,0.6127,0.9181,0.5858,0.6204,0.5975,0.5624,0.5669,0.293
ridge,Ridge Classifier,0.6029,0.0,0.5749,0.6271,0.5878,0.5507,0.5561,0.004
rf,Random Forest Classifier,0.5966,0.9109,0.5737,0.6275,0.583,0.5439,0.549,0.055
svm,SVM - Linear Kernel,0.5967,0.0,0.5641,0.6368,0.5827,0.5435,0.5512,0.008
et,Extra Trees Classifier,0.5986,0.8718,0.5809,0.6232,0.5824,0.5467,0.5521,0.05
dt,Decision Tree Classifier,0.5925,0.8147,0.5682,0.6101,0.5787,0.5408,0.5454,0.005
ada,Ada Boost Classifier,0.3233,0.6795,0.2565,0.2146,0.2192,0.2023,0.2423,0.025
