,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
xgboost,Extreme Gradient Boosting,0.6486,0.9309,0.6293,0.6733,0.6356,0.6021,0.6074,0.324
lr,Logistic Regression,0.6428,0.9303,0.6243,0.6749,0.6318,0.595,0.601,0.047
lightgbm,Light Gradient Boosting Machine,0.6346,0.9321,0.6117,0.6617,0.6219,0.5864,0.5921,0.063
gbc,Gradient Boosting Classifier,0.6347,0.9242,0.6156,0.641,0.6179,0.5872,0.5926,0.329
et,Extra Trees Classifier,0.6267,0.8764,0.6102,0.6276,0.6105,0.5772,0.5823,0.055
dt,Decision Tree Classifier,0.6167,0.8142,0.6036,0.6359,0.6081,0.5678,0.5722,0.005
ridge,Ridge Classifier,0.6188,0.0,0.5983,0.6357,0.6041,0.5675,0.5734,0.005
rf,Random Forest Classifier,0.6186,0.9138,0.6003,0.6282,0.6036,0.568,0.5729,0.061
svm,SVM - Linear Kernel,0.6008,0.0,0.5843,0.6237,0.5858,0.5491,0.5555,0.01
ada,Ada Boost Classifier,0.3034,0.6276,0.2299,0.1619,0.1827,0.1725,0.2152,0.031
