,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lr,Logistic Regression,0.6488,0.9308,0.6213,0.6651,0.6353,0.6016,0.6055,0.045
lightgbm,Light Gradient Boosting Machine,0.6427,0.9231,0.6187,0.6614,0.6292,0.5957,0.5997,0.058
xgboost,Extreme Gradient Boosting,0.6368,0.9249,0.6133,0.6685,0.6243,0.5897,0.5946,0.3
gbc,Gradient Boosting Classifier,0.6328,0.9163,0.6032,0.6535,0.6202,0.5841,0.5885,0.3
ridge,Ridge Classifier,0.6328,0.0,0.6027,0.6355,0.6147,0.5836,0.5882,0.004
et,Extra Trees Classifier,0.6227,0.8872,0.6042,0.636,0.6087,0.5732,0.5771,0.052
rf,Random Forest Classifier,0.6127,0.9144,0.5902,0.6281,0.597,0.5611,0.5657,0.056
dt,Decision Tree Classifier,0.6109,0.8048,0.5932,0.6314,0.5968,0.5616,0.5665,0.005
svm,SVM - Linear Kernel,0.5968,0.0,0.5764,0.6212,0.5786,0.5444,0.5508,0.008
ada,Ada Boost Classifier,0.3313,0.7409,0.3134,0.3033,0.2857,0.2403,0.2511,0.023
