,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6976,0.9337,0.6673,0.7142,0.6891,0.6566,0.6612,0.05
xgboost,Extreme Gradient Boosting,0.6954,0.9327,0.6716,0.7163,0.6877,0.6545,0.6593,0.255
gbc,Gradient Boosting Classifier,0.687,0.9312,0.6583,0.6996,0.674,0.6445,0.6495,0.259
lr,Logistic Regression,0.6806,0.9405,0.6512,0.7019,0.6706,0.6371,0.6423,0.035
rf,Random Forest Classifier,0.67,0.9212,0.6361,0.6756,0.6571,0.6244,0.6289,0.057
ridge,Ridge Classifier,0.6594,0.0,0.6394,0.6949,0.6554,0.6142,0.619,0.004
dt,Decision Tree Classifier,0.653,0.8383,0.6366,0.6752,0.6462,0.6078,0.6117,0.005
et,Extra Trees Classifier,0.6467,0.901,0.6246,0.6572,0.6314,0.5994,0.6041,0.048
svm,SVM - Linear Kernel,0.6362,0.0,0.6205,0.6683,0.6156,0.5888,0.5975,0.007
ada,Ada Boost Classifier,0.3652,0.7614,0.3304,0.3005,0.3032,0.2739,0.2883,0.022
