,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6722,0.9355,0.6387,0.6775,0.6608,0.6284,0.6323,0.048
gbc,Gradient Boosting Classifier,0.6681,0.9222,0.6371,0.6732,0.6539,0.6241,0.6279,0.25
xgboost,Extreme Gradient Boosting,0.6616,0.9337,0.6327,0.6632,0.6486,0.617,0.6211,0.241
lr,Logistic Regression,0.6574,0.9328,0.6324,0.6711,0.6459,0.6109,0.6161,0.037
ridge,Ridge Classifier,0.6489,0.0,0.6251,0.6653,0.635,0.6009,0.6059,0.004
dt,Decision Tree Classifier,0.6299,0.8269,0.6146,0.6503,0.6241,0.5823,0.5855,0.005
rf,Random Forest Classifier,0.6275,0.9203,0.6036,0.6331,0.6144,0.5772,0.5815,0.056
svm,SVM - Linear Kernel,0.6023,0.0,0.5854,0.6453,0.5943,0.5512,0.5567,0.008
et,Extra Trees Classifier,0.6,0.8949,0.5826,0.6117,0.5923,0.5472,0.5504,0.048
ada,Ada Boost Classifier,0.2538,0.7001,0.2064,0.1487,0.1768,0.143,0.1553,0.021
