,feature,Light Gradient Boosting Machine,Extreme Gradient Boosting,Gradient Boosting Classifier,mean_imp
0,1,0.0,0.0,0.0,0.0
1,2,0.0,0.0,0.0,0.0
2,3,0.0,0.0,0.0,0.0
3,4,0.0,0.0,0.0,0.0
4,5,0.0,0.0,0.0,0.0
5,6,0.0,0.0,0.0,0.0
6,7,0.0,0.0,0.0,0.0
7,8,0.0,0.0,0.0,0.0
8,9,0.0,0.0,0.0,0.0
9,10,0.0,0.0,0.0,0.0
10,11,0.0,0.0,0.0,0.0
11,12,0.0,0.0,0.0,0.0
12,13,0.0,0.0,0.0,0.0
13,14,0.0,0.0,0.0,0.0
14,15,0.0,0.0,0.0,0.0
15,16,0.0,0.0,0.0,0.0
16,17,0.0,0.0,0.0,0.0
17,18,0.0,0.0,0.0,0.0
18,19,0.0,0.0,0.0,0.0
19,20,0.0,0.0,0.0,0.0
20,21,0.0,0.0,0.0,0.0
21,22,0.0,0.0,0.0,0.0
22,23,0.0,0.0,0.0,0.0
23,24,0.0,0.0,0.0,0.0
24,25,0.0,0.0,0.0,0.0
25,26,0.0,0.0,0.0,0.0
26,27,0.0,0.0,0.0,0.0
27,28,0.0,0.0,0.0,0.0
28,29,0.0,0.0,0.0,0.0
29,30,0.0,0.0,0.0,0.0
30,31,0.0,0.0,0.0,0.0
31,32,0.0,0.0,0.0,0.0
32,33,0.0,0.0,0.0,0.0
33,34,0.0,0.0,0.0,0.0
34,35,0.0,0.0,0.0,0.0
35,36,0.0,0.0,0.0,0.0
36,37,0.0,0.0,0.0,0.0
37,38,0.0,0.0,0.0,0.0
38,39,0.0,0.0,0.0,0.0
39,40,0.0,0.0,0.0,0.0
40,41,0.0,0.0,0.0,0.0
41,42,0.0,0.0,0.0,0.0
42,43,0.0,0.0,0.0,0.0
43,44,0.0,0.0,0.0,0.0
44,45,0.0,0.0,0.0,0.0
45,46,0.0,0.0,0.0,0.0
46,47,0.0,0.0,0.0,0.0
47,48,0.0,0.0,0.0,0.0
48,49,0.0,0.0,0.0,0.0
49,50,0.0,0.0,0.0,0.0
50,51,0.0,0.0,0.0,0.0
51,52,0.0,0.0,0.0,0.0
52,53,0.0,0.0,0.0,0.0
53,54,0.0,0.0,0.0,0.0
54,55,0.0,0.0,0.0,0.0
55,56,0.0,0.0,0.0,0.0
56,57,0.0,0.0,0.0,0.0
57,58,0.0,0.0,0.0,0.0
58,59,0.0,0.0,0.0,0.0
59,60,0.0,0.0,0.0,0.0
60,61,0.0,0.0,0.0,0.0
61,62,0.0,0.0,0.0,0.0
62,63,0.0,0.0,0.0,0.0
63,64,0.0,0.0,0.0,0.0
64,65,0.0,0.0,0.0,0.0
65,66,0.7578659370725034,0.4393989,0.7375829913386804,0.6449492809955869
66,67,0.0013679890560875513,0.3207864,0.15356851555124487,0.15857429711187307
67,68,0.4897400820793434,0.7291624,0.8071055372937171,0.6753360047911728
68,69,0.6292749658002736,0.03707105,0.2318865805953202,0.2994108652030011
69,70,0.7236662106703147,0.7128126,0.5793658205926118,0.6719482112609718
70,71,0.25170998632010944,0.39953405,0.27905752346619567,0.31010051881207934
71,72,0.0,0.0,0.0,0.0
72,73,0.0,0.0,0.0,0.0
73,74,0.0,0.0,0.0,0.0
74,75,0.0013679890560875513,0.3207864,0.15356851555124487,0.15857429711187307
75,76,0.38850889192886456,0.40495494,0.6162667482891059,0.4699101934328711
76,77,0.31874145006839943,0.9808946,0.5766488369513948,0.6254283040689047
77,78,0.6320109439124487,0.6786438,0.53902361169781,0.6165594594267473
78,79,0.05198358413132695,0.008307165,0.026131889916797473,0.02880754619435028
79,80,0.0,0.0,0.0,0.0
80,81,0.0027359781121751026,0.6415728,0.30713703110248974,0.31714859422374614
81,82,0.18878248974008208,0.38773343,0.5427142625836033,0.3730767273313398
82,83,0.0,0.0,0.0,0.0
83,84,0.0,0.0,0.0,0.0
84,85,0.0,0.0,0.0,0.0
85,86,0.0,0.0,0.0,0.0
86,87,0.0,0.0,0.0,0.0
87,88,0.0,0.0,0.0,0.0
88,89,0.0,0.0,0.0,0.0
89,90,0.0,0.0,0.0,0.0
90,91,0.0,0.0,0.0,0.0
91,92,0.0,0.0,0.0,0.0
92,93,0.0,0.0,0.0,0.0
93,94,0.0,0.0,0.0,0.0
94,95,0.6306429548563611,0.3578574,0.3854550961465651,0.4579851523807667
95,96,0.31600547195622436,0.3393219,0.269511805848905,0.30827972971337364
96,97,0.07523939808481532,0.7072058,0.6538919735426906,0.47877904800913607
97,98,0.6593707250341997,0.056308243,0.21115685511619692,0.308945274524699
98,99,0.478796169630643,0.38961324,0.3248051894387339,0.397738200008879
99,100,0.09986320109439124,0.6543861,0.3321860325734694,0.3621451122736965
100,101,0.16826265389876882,0.6479308,0.36741664110202604,0.39453669863851976
101,102,0.0,0.0,0.0,0.0
102,103,0.0,0.0,0.0,0.0
103,104,0.0,0.0,0.0,0.0
104,105,0.0,0.0,0.0,0.0
105,106,0.0,0.0,0.0,0.0
106,107,0.0,0.0,0.0,0.0
107,108,0.0,0.0,0.0,0.0
108,109,0.0,0.0,0.0,0.0
109,110,0.0,0.0,0.0,0.0
110,111,0.2667578659370725,0.33199006,0.16449742288080055,0.2544151173361111
111,112,0.5444596443228454,0.45565158,0.6740154655132695,0.5580422303744997
112,113,0.6087551299589603,0.35463887,0.3373631202465169,0.43358570824542314
113,114,0.3447332421340629,0.7270366,0.5164913531526644,0.5294203968770903
114,115,0.12995896032831739,0.3941233,0.5802192433475358,0.36810049656156263
115,116,0.1518467852257182,0.32496116,0.17341040027926138,0.21673944705265982
116,117,0.31600547195622436,0.3393219,0.269511805848905,0.30827972971337364
117,118,0.0027359781121751026,0.6415728,0.30713703110248974,0.31714859422374614
118,119,0.32421340629274964,0.3596641,0.2723142677514732,0.318730595457902
119,120,0.44596443228454175,0.005214128,0.041797003788295754,0.1643251880834835
120,121,0.6292749658002736,0.03707105,0.2318865805953202,0.2994108652030011
121,122,0.3173734610123119,0.66010827,0.42308032140014984,0.4668540168911392
122,123,0.7961696306429549,0.038717426,0.29383338106678897,0.37624014602313244
123,124,0.47058823529411764,0.03890835,0.07848031885866324,0.19599230178850693
124,125,0.0013679890560875513,0.3207864,0.15356851555124487,0.15857429711187307
125,126,0.6744186046511628,0.6790699,0.5401098328076059,0.631199438043202
126,127,0.03283173734610123,0.7078215,0.47500063477819865,0.40521795350157735
127,128,0.667578659370725,0.35991225,0.4000918595145892,0.47586092178366574
128,129,0.0,0.0,0.0,0.0
129,130,0.46238030095759236,0.073093936,0.19688791056714117,0.244120715790672
130,131,0.6306429548563611,0.3578574,0.3854550961465651,0.4579851523807667
131,132,0.0,0.0,0.0,0.0
132,133,0.0,0.0,0.0,0.0
133,134,0.3146374829001368,0.018535525,0.1159432902976601,0.14970543260150054
134,135,0.0013679890560875513,0.3207864,0.15356851555124487,0.15857429711187307
135,136,0.7797537619699042,0.36824688,0.38639860285533234,0.5114664159930506
136,137,0.004103967168262654,0.96235913,0.46070554665373464,0.4757228814015117
137,138,0.0013679890560875513,0.3207864,0.15356851555124487,0.15857429711187307
138,139,0.41997264021887826,0.6701875,0.346009562715472,0.47872322541048984
139,140,0.5554035567715458,0.34480628,0.22070266208106834,0.3736375008550004
140,141,0.6333789329685362,0.9994302,0.6925921272490548,0.7751337466045127
141,142,0.0,0.0,0.0,0.0
142,143,0.0,0.0,0.0,0.0
143,144,0.0027359781121751026,0.6415728,0.30713703110248974,0.31714859422374614
144,145,0.0,0.0,0.0,0.0
145,146,0.0013679890560875513,0.3207864,0.15356851555124487,0.15857429711187307
146,147,0.31600547195622436,0.3393219,0.269511805848905,0.30827972971337364
147,148,0.0013679890560875513,0.3207864,0.15356851555124487,0.15857429711187307
