,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6327,0.9278,0.6202,0.6476,0.6218,0.5857,0.5898,0.055
lr,Logistic Regression,0.6367,0.9308,0.6171,0.6481,0.617,0.5895,0.595,0.047
xgboost,Extreme Gradient Boosting,0.6227,0.9236,0.6075,0.6403,0.6153,0.5747,0.5781,0.328
gbc,Gradient Boosting Classifier,0.6167,0.9234,0.5992,0.6315,0.6058,0.5676,0.5716,0.314
dt,Decision Tree Classifier,0.6127,0.8264,0.6007,0.6288,0.5999,0.5642,0.5686,0.005
rf,Random Forest Classifier,0.6147,0.913,0.5991,0.6147,0.5946,0.5646,0.5693,0.057
et,Extra Trees Classifier,0.6088,0.8873,0.593,0.6071,0.592,0.5588,0.5628,0.052
ridge,Ridge Classifier,0.6049,0.0,0.5898,0.6045,0.5825,0.5537,0.5589,0.004
svm,SVM - Linear Kernel,0.5889,0.0,0.5809,0.6061,0.5659,0.5373,0.5455,0.009
ada,Ada Boost Classifier,0.2955,0.6844,0.2392,0.1878,0.1968,0.174,0.2104,0.024
