,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6447,0.9333,0.6059,0.6604,0.6309,0.5976,0.6016,0.056
gbc,Gradient Boosting Classifier,0.6427,0.9288,0.6053,0.6583,0.6301,0.5953,0.599,0.297
xgboost,Extreme Gradient Boosting,0.6407,0.9289,0.605,0.6499,0.6265,0.5934,0.5973,0.322
lr,Logistic Regression,0.6408,0.9346,0.6052,0.654,0.6244,0.5925,0.598,0.041
rf,Random Forest Classifier,0.6167,0.9202,0.5819,0.6361,0.5983,0.5641,0.5702,0.056
ridge,Ridge Classifier,0.6148,0.0,0.5781,0.6191,0.5943,0.5632,0.5689,0.004
et,Extra Trees Classifier,0.6087,0.8863,0.5819,0.6303,0.5926,0.5566,0.562,0.051
dt,Decision Tree Classifier,0.5988,0.8184,0.5673,0.6136,0.5852,0.5471,0.5513,0.005
svm,SVM - Linear Kernel,0.5928,0.0,0.5716,0.6378,0.5791,0.5418,0.5506,0.008
ada,Ada Boost Classifier,0.3632,0.8122,0.3498,0.3265,0.3237,0.2811,0.2902,0.024
