,Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec)
br,Bayesian Ridge,21.4854,830.2692,25.5751,0.1681,0.0513,0.0436,0.005
ridge,Ridge Regression,22.64,950.3705,27.46,-0.3725,0.0552,0.0461,0.007
rf,Random Forest Regressor,23.3417,918.98,27.791,-0.2706,0.0558,0.0473,0.067
lasso,Lasso Regression,23.568,1035.7661,28.7361,-0.4883,0.0572,0.0476,0.005
et,Extra Trees Regressor,25.289,1130.4239,30.6492,-1.3352,0.0613,0.0515,0.053
dt,Decision Tree Regressor,26.78,1192.8796,31.9005,-1.5615,0.0635,0.0545,0.006
ada,AdaBoost Regressor,27.5738,1267.1075,32.809,-0.8909,0.0665,0.0554,0.01
xgboost,Extreme Gradient Boosting,28.4549,1225.9151,32.8818,-1.2486,0.0654,0.0571,0.143
lightgbm,Light Gradient Boosting Machine,28.9746,1506.6789,34.4372,-0.3631,0.0683,0.0586,0.011
par,Passive Aggressive Regressor,47.1898,4366.5601,53.8419,-8.406,0.1048,0.0935,0.007
huber,Huber Regressor,48.7338,4517.6979,55.6732,-8.5624,0.1085,0.0966,0.011
lr,Linear Regression,59770083994583.375,2.5950702481715655e+28,78674226707687.92,-5.101806175518659e+25,5.8816,113866735135.6933,0.007
lar,Least Angle Regression,4.7179165424197234e+29,1.0639042940608031e+60,6.036025419332539e+29,-4.505518621311329e+57,32.2338,9.000942056992301e+26,0.008
