,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lightgbm,Light Gradient Boosting Machine,0.6828,0.9322,0.6617,0.6982,0.6718,0.6401,0.6437,0.057
xgboost,Extreme Gradient Boosting,0.6658,0.9265,0.6488,0.6714,0.6532,0.6215,0.6253,0.251
gbc,Gradient Boosting Classifier,0.6594,0.9204,0.6369,0.662,0.6468,0.6142,0.6175,0.274
lr,Logistic Regression,0.6552,0.9308,0.6304,0.6513,0.6364,0.6084,0.6133,0.033
ridge,Ridge Classifier,0.6467,0.0,0.6234,0.653,0.6318,0.599,0.6032,0.004
rf,Random Forest Classifier,0.6467,0.9127,0.6293,0.6511,0.6311,0.5987,0.6031,0.061
et,Extra Trees Classifier,0.6383,0.8854,0.6258,0.6445,0.6262,0.5896,0.593,0.063
dt,Decision Tree Classifier,0.6088,0.8163,0.5898,0.6305,0.6008,0.5577,0.5612,0.005
svm,SVM - Linear Kernel,0.6148,0.0,0.6123,0.6558,0.5988,0.566,0.5744,0.008
ada,Ada Boost Classifier,0.3844,0.7339,0.3313,0.2832,0.2971,0.289,0.312,0.023
