,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lr,Logistic Regression,0.6487,0.936,0.6274,0.6532,0.6348,0.6031,0.6074,0.044
gbc,Gradient Boosting Classifier,0.6466,0.9201,0.6311,0.6597,0.6311,0.6019,0.6068,0.309
lightgbm,Light Gradient Boosting Machine,0.6427,0.9321,0.6234,0.6617,0.6247,0.5966,0.602,0.064
xgboost,Extreme Gradient Boosting,0.6407,0.9285,0.624,0.6564,0.6234,0.5949,0.5996,0.313
ridge,Ridge Classifier,0.6068,0.0,0.5867,0.6139,0.5953,0.5559,0.5598,0.004
et,Extra Trees Classifier,0.6088,0.8821,0.592,0.6294,0.5938,0.5586,0.5638,0.05
dt,Decision Tree Classifier,0.6047,0.8179,0.5913,0.6321,0.5937,0.5553,0.56,0.005
rf,Random Forest Classifier,0.6129,0.9177,0.5909,0.616,0.5899,0.5621,0.568,0.055
svm,SVM - Linear Kernel,0.5967,0.0,0.5896,0.6212,0.5776,0.5467,0.5546,0.008
ada,Ada Boost Classifier,0.3173,0.7398,0.2754,0.2466,0.2512,0.218,0.2305,0.024
