,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
gbc,Gradient Boosting Classifier,0.6639,0.9163,0.6406,0.6915,0.6602,0.6193,0.6229,0.269
lr,Logistic Regression,0.6637,0.9352,0.6419,0.6912,0.6564,0.6188,0.6239,0.036
ridge,Ridge Classifier,0.6511,0.0,0.6263,0.6785,0.6445,0.6041,0.6085,0.004
xgboost,Extreme Gradient Boosting,0.6468,0.9282,0.6256,0.6637,0.6369,0.5999,0.604,0.251
lightgbm,Light Gradient Boosting Machine,0.6426,0.93,0.6216,0.6586,0.6292,0.5952,0.6005,0.055
dt,Decision Tree Classifier,0.6258,0.8206,0.6177,0.6509,0.621,0.5783,0.5829,0.005
et,Extra Trees Classifier,0.6256,0.8848,0.6134,0.6466,0.6184,0.5759,0.5807,0.055
rf,Random Forest Classifier,0.6213,0.9192,0.5967,0.6353,0.6073,0.5695,0.5758,0.056
svm,SVM - Linear Kernel,0.6196,0.0,0.5946,0.6589,0.6059,0.5688,0.5763,0.008
ada,Ada Boost Classifier,0.3444,0.7412,0.2671,0.2183,0.2463,0.2332,0.2576,0.022
