,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lr,Logistic Regression,0.6617,0.9269,0.6403,0.6798,0.647,0.6159,0.6218,0.037
lightgbm,Light Gradient Boosting Machine,0.6551,0.9266,0.6362,0.6677,0.6443,0.61,0.6142,0.055
xgboost,Extreme Gradient Boosting,0.6572,0.9197,0.6394,0.6666,0.6437,0.6122,0.617,0.269
ridge,Ridge Classifier,0.6575,0.0,0.6369,0.6702,0.6423,0.6112,0.6163,0.004
rf,Random Forest Classifier,0.6531,0.9104,0.6346,0.6614,0.6376,0.6068,0.6114,0.055
dt,Decision Tree Classifier,0.6384,0.8222,0.6231,0.6683,0.6301,0.592,0.5966,0.005
gbc,Gradient Boosting Classifier,0.6406,0.9165,0.6187,0.645,0.6259,0.5927,0.5978,0.276
et,Extra Trees Classifier,0.6383,0.8874,0.6243,0.6438,0.6221,0.5909,0.5959,0.05
svm,SVM - Linear Kernel,0.6234,0.0,0.6049,0.6373,0.6033,0.574,0.5811,0.008
ada,Ada Boost Classifier,0.2855,0.6976,0.2354,0.1534,0.1807,0.1734,0.1969,0.023
